LLRRRLLRRRLLLLRRRLRRLLRRLLLLRRRLLLLRRRLLRLLRLLRLRLLLLRRLLLLRLLLLRLLLLRRRLLLLRLRRRLLRRRLLLLRRRLRRRLLRRRLLLRRRLLRLRRLRRRLLLLRRRLLLLRRRLRRLLRRRLLRRRLLRLLLLRRLLRRRLLRLLLLRRRLRLLLRRLRLLLLRLLLLRLLLLRRLLRLRLLLLRRRLLLLRRLRRRLLLRLLLLRLLLRRLLLLRLLLLRRRLLRRRLRRLLLLRLLRRRLLRRLRRRLLLRLLRRRLRRRLLRLLLLLRRRR

MSQ = (BKC, VGC)
QKF = (CJP, CCP)
DNG = (BDX, HCP)
KSV = (LHC, QSX)
CPR = (HTJ, FTV)
GGM = (DST, RNP)
JJZ = (MDV, GRP)
QPP = (MGF, JHB)
JXJ = (GGM, GXS)
LMR = (SMH, GFX)
RHG = (DPX, FSQ)
SJH = (GWW, GMV)
CMJ = (MXW, RSN)
XTB = (VMP, QRN)
WQX = (BTS, LQQ)
CLW = (RJH, BJS)
DVM = (PXW, QQV)
CNF = (NHF, WDD)
PLT = (JKR, GTC)
JCQ = (GNS, BWF)
VDK = (SGQ, RPP)
KLR = (GPJ, KLX)
MXK = (LVM, SNH)
VFH = (PMP, JJP)
JKP = (GXT, CBP)
TDB = (KSW, TXX)
BGM = (CVB, VXF)
FGF = (VDK, NWM)
GNR = (RLN, BPX)
GJH = (NFT, DGJ)
SQX = (TQR, WXL)
GQV = (HJR, SBX)
HBH = (QWT, FMC)
GBS = (VXX, CCS)
XGD = (LND, GBS)
NFW = (DPX, FSQ)
QBS = (BQQ, PWK)
MNL = (TXC, SRF)
BNC = (FXQ, FDT)
QHC = (WQD, CPR)
GPQ = (LFL, GDJ)
KPD = (SLB, JGK)
CCC = (TMS, RCM)
NXC = (NMQ, QRK)
SRX = (JLH, XHF)
JKQ = (QRD, HML)
DTS = (NGB, PBR)
KKB = (QKM, WWS)
HJR = (VHN, FSJ)
DWL = (FVF, KQX)
XNH = (XLH, JLD)
RNP = (CRD, MMN)
GRP = (RPD, FKL)
CQM = (RQG, SCK)
QVL = (QHH, CQH)
MNR = (VLX, BGM)
XTW = (QDC, VCD)
KBR = (RRS, CCN)
SMM = (CJS, KCG)
MXQ = (SHP, JJZ)
TKK = (HVD, FSL)
WVV = (RPC, TXS)
KXP = (JKP, BNG)
WDN = (LVM, SNH)
LBX = (GGC, JDX)
TNW = (QHC, CHQ)
XTF = (GLW, LGV)
VCD = (NQN, HGB)
FHJ = (NXC, BJF)
BNJ = (FFJ, MKX)
DGF = (FKJ, FGJ)
SDX = (HHJ, GRX)
NHJ = (XCN, NKX)
NLD = (HJR, SBX)
RBR = (GJC, PGM)
DFM = (VFH, KCM)
KSW = (TDW, VNR)
WRS = (XRB, RHK)
LFL = (LDP, BGR)
XRB = (XMN, TQJ)
BKF = (VPV, KXC)
SGS = (NND, HWT)
VCM = (VSJ, VDV)
PLQ = (NTM, CLW)
XCW = (DVM, NGK)
XJD = (QCR, DRS)
JDX = (SVK, NBK)
GXS = (DST, RNP)
RJH = (HWK, CTT)
CJG = (QFX, LSM)
BWA = (WVG, BGX)
VSK = (QKF, DMT)
WCP = (HWP, FLS)
HGM = (QWJ, QWJ)
NMK = (JXB, BNC)
VXN = (KRR, SRW)
TQR = (FSW, SRK)
XHF = (MXH, SXM)
FSJ = (GLD, JBF)
TWH = (PBF, JCQ)
PGM = (LBJ, KBR)
WVG = (QSJ, KTS)
SNN = (FDC, TTQ)
SWN = (HHM, MJF)
FMT = (TTM, THB)
QKM = (HFR, LRW)
CCP = (FHJ, DFR)
CMR = (VTH, KWK)
TBC = (SGG, STR)
XBM = (TWL, MQS)
MPC = (RSC, KKB)
GLD = (SPX, FJR)
CCN = (MTF, LVX)
HFR = (DJW, XGD)
LVK = (HPJ, RLQ)
RBF = (FKW, GFR)
VMP = (KFM, RGB)
FVJ = (LJL, QQB)
WGK = (BVX, FVQ)
RPP = (FBW, QVL)
GLK = (QCT, DJB)
QWJ = (JKD, JKD)
VJV = (VDK, NWM)
CGH = (PPV, DVN)
GNX = (KLF, VHZ)
XMN = (NCG, QTD)
TWK = (GJC, PGM)
QVJ = (SLB, JGK)
GPJ = (FTL, LKR)
MDV = (RPD, FKL)
DHS = (DVC, NHJ)
MGF = (XGN, GJH)
SXJ = (WSF, QGH)
HWH = (FHN, XMG)
SCK = (SSV, VSK)
RSC = (QKM, WWS)
AAA = (LBC, TCQ)
TXC = (KDK, DBP)
FSQ = (PQX, SQR)
SDV = (FJW, FJW)
XMK = (WCP, NDK)
SLV = (NFW, RHG)
HHJ = (GLP, HWH)
SLQ = (WVV, DWG)
NMQ = (KXP, FPG)
DJW = (LND, GBS)
VPV = (SWT, NWG)
KNB = (GCG, QPP)
FLH = (WST, KLN)
RQG = (SSV, VSK)
FKJ = (QBX, TNW)
WWX = (LHC, QSX)
VPJ = (GMJ, QLK)
VNL = (CJV, LFF)
GWW = (RNR, RNR)
SBW = (LQG, RBF)
FXQ = (HFK, QLN)
JFP = (BKC, VGC)
JFR = (HPG, HTS)
VHX = (MRB, HLJ)
SKT = (QWT, FMC)
BGR = (SBW, JTR)
KHW = (SNN, STL)
KDK = (SDV, GHB)
WSF = (BMN, HQH)
TJQ = (XXK, VHX)
WNT = (FFR, BFS)
DCC = (FHL, JPX)
XGN = (NFT, DGJ)
XNG = (SNN, STL)
QTD = (MRV, KNB)
BDK = (BDX, HCP)
FHN = (MPC, PDP)
RGB = (LQL, VTD)
HSB = (PFK, XHL)
BHH = (PHR, PWD)
KCG = (LDD, LDH)
JTH = (FPC, RNC)
LQQ = (DQJ, WBW)
FMC = (WJN, CTF)
VFW = (KLR, MLB)
JTR = (LQG, RBF)
GKJ = (WWC, XRL)
HCP = (TWX, PNJ)
MLB = (GPJ, KLX)
SBX = (VHN, FSJ)
PQX = (XPD, FVJ)
LRW = (DJW, XGD)
LVH = (DLM, RSP)
DCN = (MGK, CJG)
HPW = (VPG, XSC)
PSN = (KBF, CMR)
XVJ = (HPJ, RLQ)
WKV = (QDC, VCD)
DST = (CRD, MMN)
STL = (FDC, TTQ)
PMP = (SQT, XMK)
SCW = (PPV, DVN)
DKG = (LGN, WPJ)
KCM = (PMP, JJP)
KFA = (MDV, GRP)
TWX = (TRS, HGK)
RWV = (JLH, XHF)
HML = (NMK, DGR)
WVJ = (MCP, VWF)
FRN = (XSF, XRM)
DBK = (FLQ, JBG)
XSF = (GWX, LJR)
HTC = (NND, HWT)
CRD = (XTW, WKV)
LVM = (CGM, RKB)
QDC = (NQN, HGB)
HTS = (BNM, SKS)
TNP = (HPG, HTS)
MJF = (VWN, BQS)
MJH = (BCC, HRC)
NCG = (MRV, KNB)
LRD = (XXK, VHX)
HNK = (DCC, HBK)
GJC = (LBJ, KBR)
WWC = (DQW, CBG)
JWC = (DLM, RSP)
HWW = (HQC, LLN)
LGN = (KTT, CQR)
JNF = (XLH, XLH)
SKS = (JNF, XNH)
VSJ = (VXN, DNM)
KHF = (CTB, DHS)
HPJ = (LGB, SLV)
QLG = (FKJ, FGJ)
RRS = (MTF, LVX)
BFS = (JFG, TMW)
LLN = (WNT, QJH)
RVV = (VNB, SWN)
LSM = (GWP, JKQ)
BNM = (JNF, JNF)
VGS = (VNB, SWN)
CVB = (QBS, MPQ)
LSL = (RLN, BPX)
JQL = (NHF, WDD)
SQT = (WCP, NDK)
THB = (GXX, TMD)
DQW = (PTX, MNR)
HTJ = (HCM, DBK)
QLN = (BBP, TKK)
KRR = (TWH, CGQ)
HBJ = (TXC, SRF)
FBW = (QHH, CQH)
CBG = (PTX, MNR)
FSV = (NTM, CLW)
VWN = (GQV, NLD)
FJW = (RGR, RGR)
GSV = (FPC, RNC)
PKP = (WNK, FLH)
BGX = (QSJ, KTS)
LGB = (NFW, RHG)
WKH = (DTS, XQZ)
VTD = (HVG, HWW)
BPX = (HSB, WNG)
QNX = (JKR, GTC)
RPC = (CRP, KHF)
GLA = (NGB, PBR)
LHH = (KVT, MHJ)
BCC = (DFM, SWX)
DQT = (FBL, FBL)
DLM = (DXV, MHR)
JXB = (FXQ, FDT)
NGB = (XCW, HWS)
CRP = (CTB, DHS)
RGR = (QGN, QGN)
SPX = (QNX, PLT)
GFR = (CJM, XFQ)
WDD = (MNL, HBJ)
DBP = (SDV, GHB)
RLQ = (LGB, SLV)
SRK = (BGS, JRJ)
CTF = (HVX, LKF)
DQJ = (NGF, TWD)
HVD = (SDX, RVW)
KTS = (DKG, BJM)
QGN = (LBC, TCQ)
PHR = (RJP, WQX)
MPQ = (BQQ, PWK)
SNJ = (BVX, FVQ)
HNM = (KDV, SLQ)
HGB = (VHC, WDC)
CJV = (PRL, GQP)
FSW = (BGS, JRJ)
TDW = (JWR, PPR)
FDT = (HFK, QLN)
FTV = (HCM, DBK)
MBK = (XPR, XBM)
FPC = (NQQ, WVJ)
NKX = (GWG, GSK)
QJS = (TMS, RCM)
TRS = (XNG, KHW)
NWM = (SGQ, RPP)
XPR = (TWL, MQS)
NDJ = (GGC, JDX)
SXM = (LWP, NVX)
GRX = (GLP, HWH)
GXT = (XJD, PRT)
BKW = (VPT, QDN)
NWG = (RTM, CVW)
FGJ = (QBX, TNW)
VHC = (RJC, KSK)
GXH = (QRW, WRS)
MXH = (LWP, NVX)
RJR = (DWP, GFW)
GNB = (JWC, LVH)
JJP = (SQT, XMK)
SQM = (NRP, STH)
HXD = (SGG, STR)
QQV = (JTN, JWX)
KQL = (QQH, LBN)
NHF = (MNL, HBJ)
WJN = (HVX, LKF)
QRF = (GBR, TRX)
QSX = (SBN, FMT)
DMT = (CJP, CCP)
XKN = (BKF, HSP)
GCG = (MGF, JHB)
VNB = (HHM, MJF)
XQZ = (NGB, PBR)
GFX = (DTP, XTB)
DJG = (DHF, HLX)
DRJ = (KLR, MLB)
QCT = (SRX, RWV)
WPF = (HNK, BLV)
ZZZ = (LBC, TCQ)
NQQ = (MCP, VWF)
TVL = (MXW, RSN)
RJP = (BTS, LQQ)
JKD = (KLF, KLF)
CTT = (CNF, JQL)
HLJ = (FGF, VJV)
RLN = (HSB, WNG)
XXL = (VPG, XSC)
GLP = (FHN, XMG)
SLB = (SXJ, HFV)
SBN = (TTM, THB)
JLD = (GKJ, HDZ)
HVX = (HXD, TBC)
CJM = (BVD, LHH)
QBX = (QHC, CHQ)
NBK = (HTC, SGS)
XSD = (LSL, GNR)
NGK = (PXW, QQV)
VHZ = (WVG, BGX)
VWJ = (CGH, SCW)
BXT = (HGM, RKM)
CCS = (LHG, TDB)
VXF = (QBS, MPQ)
QGH = (BMN, HQH)
RNC = (NQQ, WVJ)
GBR = (TWP, VPJ)
NDK = (HWP, FLS)
FPG = (JKP, BNG)
DWG = (RPC, TXS)
CGQ = (PBF, JCQ)
QRK = (KXP, FPG)
MGJ = (LSL, GNR)
JTN = (KPL, GLK)
VFJ = (CKN, WKH)
DNM = (KRR, SRW)
MRB = (FGF, VJV)
CVW = (LJC, VWV)
BBP = (HVD, FSL)
LND = (VXX, CCS)
BJF = (NMQ, QRK)
PPV = (BTG, PKP)
HRC = (DFM, SWX)
SQR = (XPD, FVJ)
PXW = (JTN, JWX)
VXH = (NRP, STH)
XXK = (MRB, HLJ)
SGQ = (FBW, QVL)
LHG = (KSW, TXX)
VLX = (CVB, VXF)
PWK = (XPV, BNJ)
FVQ = (QLG, DGF)
TJF = (VWJ, PFC)
GHB = (FJW, WDR)
JFG = (RVV, VGS)
GQP = (BCR, BHV)
KVF = (TQR, WXL)
DWP = (DQT, DQT)
BTS = (DQJ, WBW)
MMN = (XTW, WKV)
LBN = (PXP, SJH)
MXW = (PSN, RWM)
VPT = (QMH, LPR)
TCQ = (XSB, DCN)
WBW = (NGF, TWD)
CLS = (XPR, XBM)
LBS = (FBL, STZ)
SHP = (MDV, GRP)
BQS = (GQV, NLD)
JWR = (PKW, GXH)
TXS = (CRP, KHF)
QQH = (PXP, SJH)
FHL = (JXJ, VQM)
VTH = (DRJ, VFW)
VWV = (TWK, RBR)
NJH = (PHR, PWD)
JWX = (KPL, GLK)
KWK = (DRJ, VFW)
BJM = (LGN, WPJ)
GXL = (FVF, KQX)
FFJ = (WWX, KSV)
PJF = (BKF, HSP)
GFP = (XSF, XRM)
VHN = (GLD, JBF)
LMF = (JWC, LVH)
JHB = (XGN, GJH)
PTX = (VLX, BGM)
RKM = (QWJ, QPX)
KSK = (NBQ, QJF)
PRT = (QCR, DRS)
WDR = (RGR, QJT)
GLW = (QVJ, KPD)
QRD = (NMK, DGR)
VWF = (HNM, NXQ)
JBF = (SPX, FJR)
HJF = (PWH, RJR)
LHC = (SBN, FMT)
VGC = (LRD, TJQ)
QSH = (CJS, KCG)
GMJ = (CMJ, TVL)
NPR = (CKN, CKN)
DVN = (BTG, PKP)
QRW = (XRB, RHK)
LJL = (WPF, XVH)
