LLLLRLLLLRLLLLRRRLLRRLLLLRRLLLLRRLRRRLRRRLRRRLRRRLRRLRLRLRRLLLRLLRRRLLLLRLLLRRRLRRRLLLLRRLLLRRRLLLLRRLRLRRRLLLRRLLLRRRLLLLRRRLRRLLRRRLLRLRLLLRRRLRLRLLLLRLRRRLRLLLLRRRLRRRLLLLRLRRRLLRRRLRRRLRLLRRRLLLLRRLLLRRLLRLLLLRRRLLLLRRRLRRRLLRRLLLLRRRLRRRLRRRLLLLRRRLRRRLLRRRR

HRH = (FMC, FSM)
JVC = (BHV, XKG)
XGT = (DPT, KPP)
GTK = (HFL, PBX)
SST = (LTD, QQT)
WXH = (CQK, NPN)
PSD = (NCR, VNJ)
WBN = (FCC, KJH)
XTB = (RBD, PWT)
SNJ = (GTK, PQX)
FFT = (DJW, VGR)
RDV = (TRK, DTF)
FCC = (VFX, BQX)
DPW = (KMR, TFT)
QJG = (QQG, JWH)
KGT = (SSM, XHB)
NPR = (JNP, PKR)
BWM = (JNG, FCG)
CMT = (TGR, PND)
VFX = (BNP, VQF)
PMQ = (RSN, PKC)
GLM = (DPS, NHM)
JRS = (SFK, JMR)
LBC = (RWX, PLS)
PJP = (TFR, VJG)
QLC = (GXC, GVM)
NBR = (DPW, HXG)
PQX = (HFL, PBX)
JWH = (RFP, RWP)
VFD = (LSG, WFG)
SGK = (XQX, TLH)
XQP = (HWR, WCC)
RWP = (NDM, BCR)
NRW = (QDS, RCC)
SXR = (NBJ, FRP)
TDS = (WNT, PRL)
KDF = (SDC, NRB)
DTP = (STX, DMM)
JQQ = (XQP, HML)
NXW = (PGB, FFT)
PQB = (HHJ, WGW)
SBH = (XPJ, HNS)
HQS = (QDS, RCC)
HNS = (VGS, TLV)
GSH = (GSD, XKJ)
NLJ = (GTK, PQX)
TGN = (WFL, RDT)
PQF = (STX, DMM)
WKT = (PTB, NLW)
QLP = (JVC, VXM)
GHS = (QQS, HMV)
DKJ = (VFD, DMT)
BGS = (QWC, PVP)
GVM = (NRX, SJQ)
PRW = (CDW, XKV)
LSC = (PCV, KKW)
PBP = (QWJ, SQS)
VJR = (HPG, BSL)
DPT = (VXQ, SVH)
FFX = (KLF, TST)
WFM = (FNF, PFM)
NSL = (QLP, XBX)
QPS = (HPG, BSL)
WDM = (FVP, KVD)
NPG = (BXG, XTC)
PKC = (CTG, TGB)
HKP = (FCP, XSR)
XXL = (CBW, BGF)
RCQ = (QRH, FWS)
SSM = (FQF, QNR)
QRB = (NRW, HQS)
JQV = (PST, GVJ)
PBX = (PNB, QPJ)
HMV = (CQS, DLR)
WLG = (VCT, WBN)
HKF = (GLM, SXZ)
FWS = (QPS, VJR)
PTM = (PNV, VSN)
FWP = (LDD, XWW)
TNX = (XSQ, BWM)
RCC = (WBG, SGC)
SGH = (XGT, QQN)
JSG = (DSC, VDK)
GSD = (RLX, GQM)
MJR = (QXM, LPL)
PKJ = (NDW, PGL)
QPC = (MBW, WTQ)
HFD = (TDT, FCQ)
XQX = (QBB, JQP)
CKC = (CWQ, LMC)
NHV = (XHT, GTS)
CBS = (HSX, QFT)
BLL = (NVC, FWP)
GXK = (RCQ, TKH)
KPW = (BKR, FFC)
RDB = (FRS, LPP)
GLG = (VRG, XPP)
HGG = (GHK, TTL)
WRH = (NBJ, FRP)
JGW = (RHT, JSG)
TDX = (GVR, JVZ)
XRG = (QGX, GWF)
PMR = (GXK, WSB)
XHK = (BMR, QPC)
HRL = (RBW, KCC)
GSC = (VJX, RDW)
VLK = (MJR, RLW)
LLC = (MKB, RLH)
QXM = (SXF, XXP)
DMM = (JNB, NGF)
KLN = (FXL, WPR)
THB = (GJP, VWS)
GGJ = (SGH, PSG)
BQX = (BNP, VQF)
NVC = (LDD, XWW)
QHF = (SQJ, DNR)
VMV = (BGS, SWS)
BWR = (PKS, FBD)
CTX = (NCR, VNJ)
TLV = (XBS, WPF)
XBT = (PNV, VSN)
TLJ = (HSF, CNK)
XNW = (BPS, ZZZ)
QHJ = (TNJ, CMT)
JCS = (TNX, HLH)
VDK = (DRN, FJN)
DNR = (NKF, GPX)
TFT = (XBK, KHT)
WFQ = (QKG, XFV)
PKS = (MTD, KLN)
PKR = (JKQ, RDB)
DCW = (CPD, TCX)
JDB = (GLM, GLM)
FPH = (KPW, LQG)
XRT = (LMQ, LPD)
QFK = (HSX, QFT)
XFV = (CKC, JPJ)
BGF = (KQV, WWV)
DJA = (WRH, SXR)
MRQ = (MTK, TGJ)
SSH = (NRW, HQS)
NQM = (HRH, PGK)
MMK = (PGC, XTB)
MQF = (XQX, TLH)
GBM = (LCG, JSL)
RBW = (TJN, THV)
DTF = (KRW, VBK)
CLV = (HRH, PGK)
FQF = (BGB, PJG)
VXQ = (FBP, MLC)
LMQ = (KJN, KJN)
TDT = (PJX, HKP)
MLJ = (KWT, TGN)
CWQ = (KKP, TXN)
FBC = (TDT, FCQ)
RLW = (QXM, LPL)
HLH = (XSQ, BWM)
TRR = (TDD, PMZ)
WFG = (XHK, FQB)
AAA = (VKX, VLK)
RDT = (DCX, DWZ)
GBX = (QRQ, FPV)
KRM = (QGX, GWF)
RXW = (CDW, XKV)
FTH = (PFD, TKM)
VWS = (PWD, DGP)
QQF = (FNF, PFM)
MLA = (DPS, NHM)
NLW = (PBP, RCX)
QMG = (VHJ, JQQ)
KFC = (KQS, MPS)
VGS = (XBS, WPF)
QNL = (RXW, PRW)
TCX = (XBT, PTM)
TBN = (KMQ, TRJ)
VSN = (QRW, XMH)
MXV = (DHT, BLL)
QPJ = (TSJ, LBQ)
NKF = (GKK, GKK)
BXG = (LGW, DQD)
JNG = (PMW, JGW)
QWM = (PGN, TNW)
JHM = (RFW, XDX)
WSP = (BGT, WFQ)
WRS = (PSQ, NPG)
FMC = (GLG, NWS)
NRX = (VBS, MVX)
VXM = (BHV, XKG)
FSM = (GLG, NWS)
CLR = (HHJ, WGW)
QBX = (VDG, GGJ)
JWN = (FKN, GSC)
RRT = (TWW, LLC)
LPD = (KJN, DSZ)
DSC = (DRN, FJN)
PFX = (PLF, DKC)
VNJ = (BFV, WHS)
PWV = (WVQ, XQM)
VKX = (MJR, RLW)
DMR = (DPW, HXG)
JHP = (TWW, LLC)
RWS = (KTX, PBT)
FJN = (CCP, DKJ)
LJP = (CPD, TCX)
JQH = (GPT, RPQ)
TPV = (NDW, PGL)
WBG = (NSL, HMD)
LVR = (HVK, WDM)
TWK = (QFK, CBS)
TDR = (VDG, GGJ)
FWR = (VMV, MHP)
TJN = (GRD, DKT)
NHM = (SJT, VCK)
GXC = (NRX, SJQ)
NDW = (JHM, JJF)
BCN = (TRK, DTF)
LBP = (PSQ, NPG)
JDK = (RCV, QMG)
LWR = (KPW, LQG)
FGP = (GBX, RPT)
QLQ = (DFW, GKL)
QQT = (JVF, KPB)
GKL = (MGP, WLB)
WLB = (WKR, LQB)
GWF = (GDH, HHN)
NTP = (PLF, DKC)
RPT = (QRQ, FPV)
CHW = (XBN, JQV)
CTG = (SSH, QRB)
XBN = (PST, GVJ)
TQC = (WNT, PRL)
RPG = (CFS, HHM)
LNG = (FKN, GSC)
BKR = (CTX, PSD)
GKK = (PHH, PHH)
XBV = (QLQ, NMV)
BHV = (HFF, RVC)
XHB = (FQF, QNR)
VKF = (BGT, WFQ)
MPS = (GSG, MHV)
CPD = (XBT, PTM)
NRG = (QQS, HMV)
WVQ = (SST, VKV)
KLF = (TDM, JQH)
XPP = (WSK, TLK)
XBK = (NJX, TLJ)
GQK = (QDV, BCS)
TNJ = (TGR, PND)
PSV = (SDC, NRB)
FFC = (CTX, PSD)
PSQ = (BXG, XTC)
KRW = (LNQ, LNQ)
MKN = (VGX, VGX)
VHG = (RSN, PKC)
VRG = (WSK, TLK)
XKV = (JHP, RRT)
VPX = (MTK, TGJ)
LQG = (BKR, FFC)
CVF = (QHF, QTL)
PGL = (JHM, JJF)
VNK = (XBV, MGB)
RCV = (VHJ, JQQ)
RHT = (DSC, VDK)
SGC = (NSL, HMD)
LHV = (VCT, WBN)
LMC = (KKP, TXN)
NFW = (PKJ, TPV)
WGW = (RCW, MMX)
SCV = (KWT, KWT)
PND = (FKS, RXF)
LMF = (CWV, LPB)
VXC = (TJS, JRS)
TRJ = (HHF, RXH)
KMR = (XBK, KHT)
KQV = (JGC, WKT)
VGR = (GNK, BSN)
JKQ = (FRS, LPP)
GVS = (XPJ, HNS)
LTD = (JVF, KPB)
MBW = (WMC, CHW)
NGF = (GQX, RPG)
XDX = (TQC, TDS)
QQS = (CQS, DLR)
CBW = (KQV, WWV)
FSD = (GJP, VWS)
DTG = (HNV, PXN)
PLF = (KDF, PSV)
RDW = (CDK, NHV)
GHK = (GDC, PMR)
KRX = (PJP, TQF)
JGC = (PTB, NLW)
DSZ = (QTB, LBC)
LMJ = (RBW, KCC)
TKH = (QRH, FWS)
TDD = (TDR, QBX)
KMN = (DXL, MKK)
PVP = (MKT, SCQ)
SBR = (LMF, LCB)
QRH = (QPS, VJR)
FCG = (PMW, JGW)
MGB = (QLQ, NMV)
HDR = (VMV, MHP)
QKM = (VWP, JDK)
XHT = (VKM, DBS)
HFF = (XKC, QJG)
DJW = (GNK, BSN)
TMF = (PGB, FFT)
GRD = (XLT, XLT)
FXL = (NFW, KLB)
XNG = (NRG, GHS)
SRM = (HVK, WDM)
SBK = (SSM, XHB)
MHP = (BGS, SWS)
CDW = (JHP, RRT)
KCC = (TJN, THV)
FVP = (NMR, JFP)
QQG = (RFP, RWP)
QLB = (NRG, GHS)
FCP = (CNJ, PWV)
LGW = (QKM, LKG)
PKM = (KLF, TST)
KTX = (TWK, KWW)
VBK = (LNQ, TDX)
KMQ = (HHF, RXH)
STX = (JNB, NGF)
NWS = (VRG, XPP)
NBJ = (SBH, GVS)
PNV = (QRW, QRW)
TRK = (KRW, KRW)
SLH = (MQF, SGK)
GVR = (WRH, SXR)
TGJ = (JLD, DNM)
RLX = (LBP, WRS)
RFW = (TQC, TDS)
XTC = (LGW, DQD)
WXJ = (PKS, FBD)
QXG = (DXL, MKK)
WJL = (SXG, FPF)
GVJ = (GGD, JGR)
NMV = (DFW, GKL)
DJK = (KTX, PBT)
VKL = (NPD, XXL)
SVH = (FBP, MLC)
RBD = (KMN, QXG)
SDC = (CKL, QCF)
DCG = (TDD, TDD)
LQD = (CMP, GSH)
DRN = (CCP, DKJ)
LPL = (SXF, XXP)
QGX = (GDH, HHN)
KJN = (QTB, LBC)
JNB = (GQX, RPG)
HWR = (MKN, RBR)
BPS = (VKX, VLK)
XWW = (MQS, KGD)
DLR = (QNS, LQD)
DCX = (RSX, QWM)
JQX = (CBH, QSF)
TTG = (RXW, PRW)
JGR = (CVF, BKT)
JNP = (JKQ, RDB)
NSS = (PKM, FFX)
DGP = (SCV, MLJ)
GJP = (PWD, DGP)
TNW = (DTP, PQF)
PMW = (RHT, JSG)
RXF = (BWR, WXJ)
XMH = (JDB, HKF)
SQS = (KBX, DTG)
HPS = (QDV, BCS)
FRS = (TSR, JQX)
PBT = (TWK, KWW)
QDV = (HFD, FBC)
VBS = (JLW, GBM)
JFP = (LJP, DCW)
CFS = (DTT, VKL)
HFL = (PNB, QPJ)
DFP = (WXH, NVD)
GPT = (RWS, DJK)
HMT = (XBV, MGB)
DHT = (NVC, FWP)
CCP = (VFD, DMT)
KLB = (PKJ, TPV)
QWJ = (KBX, DTG)
VCK = (PQW, NSS)
FBP = (QHJ, XPV)
QRW = (JDB, JDB)
QFB = (QQF, WFM)
FXB = (TNX, HLH)
QRQ = (FPH, LWR)
HSX = (SRM, LVR)
DFW = (MGP, WLB)
LDD = (MQS, KGD)
XVG = (LMF, LCB)
CNK = (LHV, WLG)
GPX = (GKK, DTL)
FCQ = (PJX, HKP)
PGK = (FMC, FSM)
QFT = (SRM, LVR)
HXG = (KMR, TFT)
HSF = (LHV, WLG)
HKA = (RSX, QWM)
HPG = (XRG, KRM)
SQJ = (NKF, GPX)
QXN = (GXC, GVM)
WCC = (MKN, RBR)
DPS = (SJT, VCK)
TDM = (GPT, RPQ)
KBX = (HNV, PXN)
PCV = (BLB, QKF)
NWA = (TDR, QBX)
LPP = (TSR, JQX)
JLW = (LCG, JSL)
SFK = (PMQ, VHG)
PGB = (DJW, VGR)
XLT = (LMQ, LMQ)
PXN = (SNJ, NLJ)
KWW = (QFK, CBS)
KHT = (NJX, TLJ)
XPV = (TNJ, CMT)
PMZ = (TDR, QBX)
RXA = (QTB, LBC)
DXL = (WSP, VKF)
PTB = (PBP, RCX)
TXN = (NWJ, HGG)
LPB = (CQF, RJL)
DNM = (HDR, FWR)
QSF = (VXC, KPR)
NDM = (KGT, SBK)
MBH = (MRQ, VPX)
GDC = (GXK, WSB)
XKJ = (RLX, GQM)
NVD = (CQK, NPN)
MGP = (WKR, LQB)
XPJ = (VGS, TLV)
HHJ = (RCW, MMX)
KKP = (NWJ, HGG)
QBB = (TWN, RNK)
BGT = (QKG, XFV)
BCS = (HFD, FBC)
HMD = (QLP, XBX)
MTD = (FXL, WPR)
WPF = (SLH, XBC)
VGX = (DCG, DCG)
SXZ = (DPS, NHM)
FBD = (MTD, KLN)
LCG = (XNG, QLB)
NPD = (CBW, BGF)
ZZZ = (VKX, VLK)
JPW = (JNP, PKR)
KQS = (GSG, MHV)
LKG = (VWP, JDK)
QKF = (HMT, VNK)
KPP = (VXQ, SVH)
BSN = (QNL, TTG)
RPQ = (RWS, DJK)
CDK = (XHT, GTS)
THV = (GRD, DKT)
QDS = (WBG, SGC)
WWV = (JGC, WKT)
PGC = (RBD, PWT)
XDF = (WXH, NVD)
BWG = (KFC, FTR)
LQB = (FTH, BCW)
RFP = (NDM, BCR)
WPR = (NFW, KLB)
SJT = (PQW, NSS)
HHN = (XSK, LRC)
BKT = (QHF, QTL)
RNK = (XVG, SBR)
XQM = (SST, VKV)
MMX = (QLC, QXN)
MQS = (MMK, QWW)
FTR = (KQS, MPS)
KJH = (VFX, BQX)
BFV = (LVC, QFB)
KVD = (NMR, JFP)
RSN = (CTG, TGB)
TST = (TDM, JQH)
CQS = (QNS, LQD)
PHQ = (DCG, TRR)
FQB = (BMR, QPC)
NPN = (NBR, DMR)
VKM = (JPW, NPR)
RJL = (JCG, BWG)
TWW = (MKB, RLH)
BNP = (BCN, RDV)
HBW = (FSD, THB)
XSR = (CNJ, PWV)
GNK = (QNL, TTG)
FNF = (QKJ, PKV)
SWS = (QWC, PVP)
TLK = (HRL, LMJ)
CQF = (JCG, BWG)
HFV = (SXG, FPF)
KPR = (TJS, JRS)
PGN = (DTP, PQF)
LCB = (CWV, LPB)
XSK = (NTP, PFX)
FLH = (FSD, THB)
QKJ = (LNG, JWN)
TQF = (TFR, VJG)
TSJ = (RSW, LSC)
XBS = (SLH, XBC)
VKV = (LTD, QQT)
PSG = (XGT, QQN)
CBH = (VXC, KPR)
TSR = (CBH, QSF)
XKG = (HFF, RVC)
HHF = (CLR, PQB)
SJQ = (VBS, MVX)
KWT = (WFL, WFL)
PSW = (KMQ, TRJ)
SCQ = (DFP, XDF)
MKK = (WSP, VKF)
NMR = (LJP, DCW)
CKL = (NXW, TMF)
MTK = (JLD, DNM)
GQM = (LBP, WRS)
GTS = (VKM, DBS)
VCT = (FCC, KJH)
JQP = (TWN, RNK)
HML = (HWR, WCC)
NCR = (BFV, WHS)
LRC = (NTP, PFX)
HVK = (FVP, KVD)
SHD = (DHT, BLL)
RSX = (PGN, TNW)
PHH = (BPS, BPS)
GQX = (CFS, HHM)
XBX = (JVC, VXM)
JSL = (XNG, QLB)
FKS = (BWR, WXJ)
DKT = (XLT, XRT)
QKG = (CKC, JPJ)
XSQ = (JNG, FCG)
TKM = (HBW, FLH)
DKC = (KDF, PSV)
NJX = (HSF, CNK)
QQN = (DPT, KPP)
LVC = (QQF, WFM)
TGR = (FKS, RXF)
WHS = (LVC, QFB)
PLS = (SWV, KRX)
QNR = (BGB, PJG)
CQK = (NBR, DMR)
MLC = (QHJ, XPV)
QNS = (CMP, GSH)
DWZ = (RSX, QWM)
SXG = (FGP, QGD)
QTB = (RWX, PLS)
VJX = (CDK, NHV)
PFM = (QKJ, PKV)
RXH = (CLR, PQB)
BGB = (QFN, MBH)
SXF = (FXB, JCS)
JVZ = (WRH, SXR)
