LLRRRLLLLRRLLLRRRLLLLRRLLRLLRRLLRLLLLRLLLLRRRLRRLLRRLLLRRRLRRRLLLLRLLLLRRRLLLLRRRLLLRRRLLLRRLLLLRRRLLLLRLRRLLLLRRLLLRRLLLLRRLLLLRRLLLLRRLLRRRLLRLLLLRLLLLRRRLLLLRRRLLLLRRRLLLLRRLLLRLLLRRLLLRLLLLRLLLLRRRLRRLLLLRRLLRRLLLLRRRLLRRRLRLRRRR

HWT = (TQF, SQJ)
TQF = (HHQ, TSW)
THX = (LPJ, FTV)
DTX = (QHF, HJG)
VNC = (XFQ, XLB)
KFW = (HLG, XNQ)
DKH = (KFF, CGH)
WCW = (FGV, PKW)
XFP = (KHV, TKQ)
RKB = (NCD, LTJ)
MTG = (WRM, LJP)
RTP = (TRV, TFG)
HJR = (WRK, TRF)
QTQ = (CTR, VST)
WCX = (DKM, VSP)
TWP = (JMF, RTF)
DCJ = (RSP, HFD)
JHF = (DKM, VSP)
KCC = (DTT, JJD)
TPG = (PTT, WWQ)
QCA = (NWM, LNW)
JDM = (VRM, LHK)
GMB = (VDR, GCQ)
RDH = (LFR, LNQ)
QTH = (FMF, KQL)
XPL = (LGW, KTR)
WSS = (NTJ, GDG)
HKC = (CVG, TFX)
HHQ = (HDM, WBX)
WPT = (LBT, XMQ)
CDH = (SRJ, PJN)
LVP = (CWX, GRZ)
HBT = (QHK, QSV)
FGV = (BFH, RJM)
MLB = (QXP, LSN)
VMH = (MLB, LKL)
XRV = (LLK, XDH)
JNT = (STL, JMK)
WRP = (QTQ, MTW)
HRF = (SDF, CHR)
MCD = (RPS, FXL)
GHH = (VTX, CMH)
DJD = (JRR, XSG)
QQP = (SCS, CJP)
XRJ = (CDJ, WVG)
MCT = (QTQ, MTW)
VRQ = (MCP, CSL)
JJT = (TCQ, GJF)
XWH = (JDM, RRH)
LPQ = (NSS, KQB)
RMW = (WLH, CQK)
TVW = (DLD, FCJ)
DNK = (KCX, VGJ)
PTT = (NNR, DRS)
WKT = (WSL, PHH)
LMV = (KST, KFB)
JBJ = (NWS, TVW)
WVG = (RXT, JJT)
KCT = (RFQ, XWH)
DWN = (NRF, JNR)
GJF = (KRB, VNQ)
KQH = (DTX, MGM)
XFX = (MSP, NFC)
KRK = (MSH, CDH)
MWS = (GHQ, SSN)
XXM = (VLS, RDH)
HGD = (GTL, GLX)
GSC = (LBT, XMQ)
DVG = (NTJ, GDG)
JSX = (GGC, KRG)
BWA = (FFC, HJQ)
BQL = (PSN, PWB)
PJF = (CWH, JBH)
QPP = (KMK, XBF)
NMB = (WXP, LNN)
XWQ = (FSG, BFG)
TWT = (STL, JMK)
RBB = (XRV, TQH)
CJP = (JNC, RSJ)
CVH = (VPB, RVH)
HKD = (BVN, MNK)
VST = (VMB, PPQ)
HJG = (SRC, THH)
PRR = (RXR, DWN)
HNP = (CTW, CTW)
QDR = (JNM, FFW)
GLR = (CVG, TFX)
XDH = (JGF, WDB)
PHH = (TWC, TFT)
KBR = (BQX, PGV)
FBK = (KRR, LHB)
RKC = (PGP, BGW)
QXL = (SBF, CRQ)
JVR = (JHF, WCX)
FCS = (RWF, DHG)
JXK = (XRR, QNG)
BRD = (HCC, NPS)
MBP = (JMF, RTF)
GQL = (JXF, SNG)
WVC = (XFP, FGF)
SRQ = (TBW, QDL)
VMB = (SDG, QTH)
KRB = (XXB, XXB)
FHJ = (FKJ, JHS)
LKD = (KFP, KQF)
NCL = (HTD, WGX)
QJF = (NWX, XPN)
GDK = (SSV, TKT)
KQB = (FDK, TRN)
KTL = (JVR, HWP)
PBT = (NBM, LLW)
TSW = (HDM, WBX)
NKV = (HTQ, LWQ)
DPN = (FLQ, RNW)
LSN = (LNJ, GJV)
DLX = (LJM, NRC)
PJN = (LWJ, WCM)
PXH = (XVL, BBF)
MSH = (SRJ, PJN)
RLD = (QFK, CVR)
LNG = (HGD, BSS)
HPW = (GFM, JMR)
SXP = (CBM, BWN)
PCV = (DSQ, JVF)
JNM = (KQD, KRK)
TCQ = (KRB, KRB)
WRW = (WCL, BMH)
CTW = (MWS, FXR)
GTN = (BPC, WPR)
FFK = (TGK, TCW)
CKQ = (RXS, TMN)
FCK = (SMP, XJV)
RFQ = (JDM, RRH)
GLX = (KGG, KNG)
VTX = (GGJ, WTS)
KGG = (LMV, CDB)
GMD = (GTN, FVN)
KRJ = (BWX, KBG)
BVN = (XXC, BXS)
JJD = (SXP, MNN)
FXL = (DLX, RQP)
RQJ = (GRX, TFH)
BJX = (VBV, NLW)
DMX = (XRV, TQH)
DHG = (KDX, QNB)
MGM = (QHF, HJG)
QRJ = (BSF, HFX)
LDC = (VPB, RVH)
FCQ = (PSB, PRR)
BJZ = (BFF, BGP)
JBL = (STW, VRQ)
RVL = (TGK, TCW)
QHF = (SRC, THH)
RDD = (HLN, BTW)
HGP = (LHG, WFH)
LWJ = (KPJ, BGG)
NPQ = (WRK, TRF)
KPJ = (LKD, GCL)
PJX = (NTQ, KDD)
DLD = (MHM, GHS)
NQS = (BVX, JFH)
NVF = (SNJ, LNG)
CVR = (FKG, JWC)
WSH = (TRQ, KBR)
XTG = (LFS, SNH)
FVN = (BPC, WPR)
QWW = (QFK, CVR)
KDN = (JXF, SNG)
VDR = (PBT, QDH)
BBF = (BNN, KCS)
DRV = (CJG, MPW)
NFC = (WFX, NJS)
TCF = (DKH, LBN)
JLF = (NGR, FCQ)
MSP = (WFX, NJS)
WKF = (PDK, SMB)
KRR = (RDD, TFR)
JMR = (KTL, HKF)
JGF = (MGN, MGN)
KGD = (HBB, RMW)
BSW = (MBP, TWP)
LJP = (VRW, MDP)
MJT = (WPT, GSC)
RTJ = (PFX, NVF)
NSS = (FDK, TRN)
BFG = (KVC, VHW)
KHF = (RBL, VGR)
JSM = (KTM, WMF)
WDB = (MGN, MLT)
VVK = (GPX, KWR)
QDH = (NBM, LLW)
BGW = (MSK, KLC)
NRC = (VSG, SCK)
MSK = (PGL, NLF)
QTK = (TDG, JSC)
TCW = (CRF, NCL)
GTB = (WSS, DVG)
PHR = (LGQ, FVT)
NDX = (MCT, WRP)
BVX = (SRQ, HLV)
MXV = (QWR, QTK)
NWJ = (XFQ, XLB)
MPW = (QJF, WHR)
THG = (XSX, JPX)
XXC = (VDF, SGC)
LHB = (RDD, TFR)
HJQ = (LTK, WFF)
VKG = (QTS, XRJ)
KHV = (GJJ, JLF)
MTW = (CTR, VST)
LNX = (HCC, NPS)
TFT = (KGD, HMN)
HCC = (DJR, WFD)
KQF = (THX, SGQ)
PKW = (BFH, RJM)
WHR = (NWX, XPN)
BNJ = (CJG, MPW)
SHS = (LWN, NTB)
LNW = (HFT, GMQ)
LWQ = (JSM, XFW)
CNS = (KCT, DKG)
LTJ = (QSG, TPS)
KNG = (LMV, CDB)
FMF = (VCL, PHR)
XLB = (PPN, VVM)
SQW = (XTG, GCC)
QSV = (SJK, GCN)
TFG = (WDX, KQX)
LDG = (LWV, GSS)
FVX = (VDR, GCQ)
PSB = (RXR, DWN)
PSN = (PKK, XDV)
SDF = (FTB, KLH)
GMQ = (RQJ, CBH)
AAA = (QRD, WDD)
NJS = (RLC, MRX)
QPG = (PHK, TTC)
CGH = (XDB, QQX)
KCS = (PGM, SGL)
RXS = (PTF, QPP)
NLF = (JMC, BJX)
TTD = (WBQ, CKQ)
FTB = (XNJ, VSB)
VGR = (QXL, KFM)
MTV = (GFM, JMR)
GGC = (LPQ, KCK)
JBH = (SHS, BST)
RRD = (MLB, LKL)
QHD = (LWV, GSS)
NPS = (DJR, WFD)
RSP = (CNW, RKC)
QPJ = (GQL, KDN)
QKM = (WFC, CHP)
RNW = (BRX, MMD)
KST = (JCK, GTB)
HQM = (MKK, LRX)
CCN = (PCX, HLJ)
RWF = (KDX, QNB)
RXT = (TCQ, GJF)
JJX = (WFC, CHP)
MRX = (LTD, DRB)
NQD = (MGS, HNS)
RLC = (LTD, LTD)
TQH = (LLK, XDH)
VVC = (FFC, HJQ)
LTK = (DGS, VVK)
FBP = (QWR, QTK)
WFX = (RLC, RLC)
KQD = (MSH, CDH)
PGP = (MSK, KLC)
LWN = (SGM, STS)
BNN = (PGM, SGL)
RVH = (MXV, FBP)
KCX = (MTG, HBX)
TFX = (LKP, BQL)
TRQ = (BQX, PGV)
LFR = (FVX, GMB)
HPK = (MCT, WRP)
KFP = (THX, SGQ)
JQX = (DSQ, JVF)
LWV = (HPW, MTV)
KTR = (PXQ, MDH)
GPV = (LWL, VQW)
SNH = (GLQ, WKF)
VHH = (FBK, SLX)
NTV = (PHK, TTC)
HLN = (HHM, HXJ)
TKT = (VCT, VGG)
TDG = (NLN, RTP)
CSC = (RWF, DHG)
WPD = (RPF, WCW)
DGM = (MCG, HRZ)
SJK = (RFC, NBS)
MMD = (NCN, KQH)
KWR = (FVF, BBB)
GXV = (LBC, LBC)
SMC = (JVJ, TFL)
FLJ = (FLQ, RNW)
NBM = (CNS, PCG)
VHW = (KJW, NQS)
XDV = (QVH, TCF)
GHS = (GDM, NMB)
KML = (CRR, WVC)
LSV = (FHJ, KXL)
SGC = (KKR, DJD)
SRC = (PJF, FWD)
TFL = (TLX, KQC)
XVL = (BNN, KCS)
RXH = (DFJ, DKD)
FCJ = (MHM, GHS)
LGH = (RBL, VGR)
FVF = (QPG, NTV)
GJJ = (NGR, FCQ)
SSV = (VCT, VGG)
VFM = (SDF, CHR)
RTF = (BDT, LCN)
HNS = (RDB, KFW)
NRF = (TJH, GTR)
RJM = (HMG, SMC)
CNW = (PGP, BGW)
SMB = (GLS, QPJ)
HRZ = (HWT, JHT)
MHM = (GDM, NMB)
LPJ = (FVV, RKB)
KTM = (DRV, BNJ)
TVS = (FLJ, DPN)
GDG = (HWV, XWQ)
JCK = (WSS, DVG)
FKG = (LGR, DCJ)
RPH = (LRV, QMV)
FPQ = (SPT, SPT)
PGL = (JMC, BJX)
XDF = (TRQ, KBR)
CHR = (FTB, KLH)
XXB = (CWX, CWX)
QWR = (TDG, JSC)
WFN = (BTB, DGM)
WTK = (WHK, XFX)
LRV = (QHB, MJT)
NLN = (TRV, TFG)
NTQ = (VVC, VVC)
LKP = (PSN, PWB)
QNG = (TWT, JNT)
NBS = (THG, WRV)
QNV = (RPS, FXL)
QSG = (GRN, JGK)
JFJ = (CXS, WFN)
JRR = (LRL, KMQ)
WRK = (MQN, WWM)
SBF = (FHW, CCX)
NCD = (QSG, TPS)
VQW = (QDR, NGD)
WWQ = (NNR, DRS)
QNB = (JXK, KBK)
HFT = (RQJ, CBH)
RQA = (BFF, BGP)
CDB = (KST, KFB)
VNQ = (XXB, LVP)
SGQ = (LPJ, FTV)
PXQ = (LGH, KHF)
BDT = (FPQ, VLN)
XFW = (KTM, WMF)
SNG = (GPV, RSN)
RXR = (NRF, JNR)
JHT = (TQF, SQJ)
KQX = (BLT, VFN)
SCK = (KDB, HKD)
TBW = (LQF, BRJ)
GRZ = (NWM, LNW)
PPQ = (SDG, QTH)
DJR = (HCF, GTX)
LBC = (QRD, WDD)
CTR = (VMB, PPQ)
KFB = (JCK, GTB)
GCL = (KFP, KQF)
KMK = (NMF, WRW)
BND = (QHK, QSV)
MGS = (RDB, KFW)
PLN = (FLJ, DPN)
VSB = (PLN, TVS)
VVM = (VQB, RPH)
GFM = (KTL, HKF)
TRN = (RLD, QWW)
VGJ = (MTG, HBX)
HWV = (FSG, BFG)
BQX = (DBD, SRR)
RDB = (HLG, XNQ)
HMN = (HBB, RMW)
LQK = (XTG, GCC)
XMQ = (TSJ, NQD)
CRR = (XFP, FGF)
LHK = (VNC, NWJ)
LBN = (KFF, CGH)
DSQ = (CSC, FCS)
CRF = (HTD, WGX)
SSN = (MBM, LCV)
MCP = (SJV, KCC)
BBB = (QPG, NTV)
GLQ = (PDK, SMB)
LNQ = (FVX, GMB)
NKQ = (LGW, KTR)
CNP = (SMP, XJV)
JVF = (CSC, FCS)
CHP = (WPD, QDJ)
TNF = (GXV, GXV)
BPC = (JWN, MBN)
GPX = (FVF, BBB)
WFF = (DGS, VVK)
BPG = (LBC, ZZZ)
RRH = (VRM, LHK)
DTT = (SXP, MNN)
JQS = (LHG, WFH)
XTZ = (FFC, HJQ)
KJW = (BVX, JFH)
RBL = (QXL, KFM)
JVJ = (TLX, KQC)
WSL = (TWC, TFT)
HBB = (WLH, CQK)
HHM = (PTX, WTK)
JSP = (PSF, GDK)
FFC = (LTK, WFF)
TMN = (PTF, QPP)
KMQ = (XXM, KJB)
CVG = (LKP, BQL)
XJV = (QNV, MCD)
GSS = (HPW, MTV)
VCT = (MPK, TTD)
TNX = (DFJ, DKD)
TRV = (WDX, KQX)
RQP = (LJM, NRC)
NQW = (XDF, WSH)
RQM = (TWB, WKT)
RFC = (THG, WRV)
KKR = (JRR, XSG)
PGM = (FNQ, VKG)
WDX = (BLT, VFN)
VLN = (SPT, PJX)
GCQ = (PBT, QDH)
TLX = (TXQ, SHJ)
NTB = (SGM, STS)
LRL = (XXM, KJB)
WBQ = (RXS, TMN)
MKK = (LCB, PXH)
VFN = (NBW, NRR)
KBK = (XRR, QNG)
RWL = (KCX, VGJ)
FVV = (NCD, LTJ)
SMP = (QNV, MCD)
JGD = (QKM, JJX)
BTW = (HHM, HXJ)
FKJ = (HRF, VFM)
BWX = (NQR, JSX)
VLS = (LFR, LNQ)
SHA = (MWS, FXR)
DKD = (XPJ, LHM)
HLJ = (QHD, LDG)
VRM = (VNC, NWJ)
VDF = (KKR, DJD)
CMH = (GGJ, WTS)
STL = (FHX, LCC)
TFR = (HLN, BTW)
NTJ = (HWV, XWQ)
MCG = (HWT, JHT)
GRX = (VCV, CCN)
FVT = (BDJ, KML)
KDX = (JXK, KBK)
JPX = (HQM, STQ)
BRJ = (DQM, JBL)
LLW = (CNS, PCG)
CWH = (SHS, BST)
PSF = (SSV, TKT)
GCC = (LFS, SNH)
XSX = (HQM, STQ)
QDJ = (RPF, WCW)
KQC = (TXQ, SHJ)
WPR = (JWN, MBN)
MPK = (WBQ, CKQ)
WCM = (KPJ, BGG)
VBV = (HJR, NPQ)
VDP = (BWX, KBG)
LGR = (RSP, HFD)
LHM = (NDX, HPK)
HTD = (VNV, GHH)
DKG = (RFQ, XWH)
CBH = (GRX, TFH)
LRX = (LCB, PXH)
KQL = (VCL, PHR)
WBX = (GLR, HKC)
FXR = (GHQ, SSN)
XPN = (RBB, DMX)
FSG = (KVC, VHW)
XSG = (LRL, KMQ)
QQX = (RTJ, MMG)
JFH = (SRQ, HLV)
PHK = (BKF, GGP)
NWS = (DLD, FCJ)
MMG = (PFX, NVF)
TSN = (JQS, HGP)
CBM = (RHJ, NHK)
KVC = (KJW, NQS)
VSG = (KDB, HKD)
VLJ = (JSP, TKX)
VRT = (FHJ, KXL)
JVQ = (BFF, BGP)
BTB = (MCG, MCG)
BGG = (LKD, GCL)
WTS = (TMS, VLJ)
HLG = (DNK, RWL)
TKQ = (GJJ, JLF)
LTD = (JVQ, JVQ)
MNK = (XXC, BXS)
WLH = (VRT, LSV)
SRR = (GTT, JGD)
LFS = (GLQ, WKF)
CXS = (BTB, BTB)
JMC = (VBV, NLW)
NRR = (VHH, XPD)
DQM = (STW, VRQ)
VCL = (LGQ, FVT)
SLX = (KRR, LHB)
FNQ = (QTS, XRJ)
JNC = (VVT, TSN)
BMH = (LDC, CVH)
PDK = (GLS, QPJ)
HLV = (TBW, QDL)
CSL = (SJV, KCC)
CWX = (NWM, LNW)
DBD = (GTT, JGD)
KFM = (SBF, CRQ)
BWN = (RHJ, NHK)
VQB = (LRV, QMV)
SGL = (FNQ, VKG)
VGG = (MPK, TTD)
MBN = (NKV, FLC)
KLC = (PGL, NLF)
FHX = (LQK, SQW)
XRR = (TWT, JNT)
LCC = (LQK, SQW)
TGK = (CRF, NCL)
BKF = (FCK, CNP)
TSJ = (MGS, HNS)
LLK = (JGF, WDB)
DFJ = (XPJ, LHM)
JWC = (LGR, DCJ)
QVH = (DKH, LBN)
FGF = (KHV, TKQ)
SPT = (NTQ, NTQ)
KDB = (BVN, MNK)
WWM = (BND, HBT)
HTQ = (JSM, XFW)
GPL = (SCS, CJP)
XPJ = (NDX, HPK)
LCV = (JBJ, JHN)
HBX = (WRM, LJP)
KBG = (NQR, JSX)
KRG = (LPQ, KCK)
FHW = (BFQ, BSW)
WDD = (FRC, RQM)
JHN = (NWS, TVW)
BRX = (NCN, KQH)
TTC = (BKF, GGP)
JMF = (BDT, LCN)
NBW = (VHH, XPD)
WFH = (RRD, VMH)
FLC = (HTQ, LWQ)
QMV = (QHB, MJT)
NHK = (TPG, QDK)
FTV = (FVV, RKB)
STW = (MCP, CSL)
NGD = (JNM, FFW)
TKX = (PSF, GDK)
KCK = (NSS, KQB)
GCN = (RFC, NBS)
JGK = (MKN, QRJ)
BSS = (GTL, GLX)
WFD = (HCF, GTX)
GTX = (VDP, KRJ)
RQF = (GXV, BPG)
SHJ = (XPL, NKQ)
BST = (LWN, NTB)
STS = (TNF, RQF)
JWN = (NKV, FLC)
LGW = (PXQ, MDH)
NGR = (PSB, PRR)
DRS = (KBV, JFJ)
TWC = (KGD, HMN)
XPD = (FBK, SLX)
MBM = (JBJ, JHN)
ZZZ = (QRD, WDD)
PFX = (SNJ, LNG)
FDK = (RLD, QWW)
LQF = (DQM, JBL)
RJD = (CTW, QSZ)
LBT = (TSJ, NQD)
LNN = (JQX, PCV)
TPS = (GRN, JGK)
NWX = (RBB, DMX)
QDK = (PTT, WWQ)
WHK = (MSP, NFC)
QFK = (FKG, JWC)
LKL = (QXP, LSN)
PTX = (WHK, XFX)
FFW = (KQD, KRK)
SGM = (TNF, TNF)
LJM = (VSG, SCK)
CJG = (QJF, WHR)
TWB = (WSL, PHH)
CRQ = (FHW, CCX)
PWB = (PKK, XDV)
BSF = (RXH, TNX)
LCB = (XVL, BBF)
VTA = (HWT, JHT)
KLH = (XNJ, VSB)
HKF = (JVR, HWP)
PKK = (QVH, TCF)
QXP = (LNJ, GJV)
LNJ = (RRL, GMD)
WRV = (XSX, JPX)
FWD = (CWH, JBH)
XNJ = (PLN, TVS)
BFQ = (MBP, TWP)
KJB = (VLS, RDH)
PGV = (DBD, SRR)
TJH = (GPL, QQP)
TRF = (MQN, WWM)
BDJ = (CRR, WVC)
VPB = (MXV, FBP)
GTT = (QKM, JJX)
XBF = (NMF, WRW)
XFQ = (PPN, VVM)
VVT = (JQS, HGP)
FLQ = (BRX, MMD)
NNR = (KBV, JFJ)
LGQ = (BDJ, KML)
GLS = (GQL, KDN)
RRL = (GTN, FVN)
NCN = (DTX, MGM)
CDJ = (RXT, JJT)
QTS = (CDJ, WVG)
JMK = (FHX, LCC)
KXL = (FKJ, JHS)
HDM = (GLR, HKC)
HFX = (RXH, TNX)
FRC = (TWB, WKT)
RHJ = (TPG, QDK)
MGN = (HNP, HNP)
SRJ = (LWJ, WCM)
GGJ = (TMS, VLJ)
QDL = (LQF, BRJ)
DKM = (BRD, LNX)
SQJ = (HHQ, TSW)
QRD = (FRC, RQM)
VCV = (PCX, HLJ)
STQ = (MKK, LRX)
MNN = (CBM, BWN)
MQN = (BND, HBT)
VRW = (WFT, NQW)
NLW = (HJR, NPQ)
