LLLLRLLLLRLRRRLLLRRLRLLRRLLLRRRLLLLRRRLRLLRRLLRLLLRLLLRRRLLLRRRLRRRLRRRLLLLRRRLLRRRLLRLLRLLLLRRLRRRLRRLLLRLLLLRRLLRRRLRLLRRRLLRRLLLLRRRLLRRRLLRLLRRRLLLLRRRLRLRRRLLLRRRLLLRRLLLLRRRLLRLLLLRRLRRRLRRRLLLLRLRRRLLLRLLRRRLRRRLLLLRRRLLRRLLRLLLRRRLRRRLRRLLRRRR

NBV = (BBH, FSP)
XKD = (RVG, KDW)
GJB = (KFS, VPB)
FXQ = (TXB, QQT)
FFT = (WPD, WRV)
TKC = (RHQ, RHQ)
PWR = (XKJ, JCX)
NWS = (WLT, JBS)
DKL = (QTC, QTC)
QQT = (BBD, FPR)
QLR = (QTW, PQM)
XVL = (DJM, VFV)
NXV = (DVJ, GVG)
SQF = (RLS, LXH)
XPL = (PBL, NDT)
SMF = (KVQ, DFS)
FHR = (BDV, FMF)
SPM = (RVN, SVB)
KVX = (HXL, RSK)
DCT = (DXL, GFL)
LDW = (XVL, PKH)
VPC = (TPF, KKM)
RRT = (GJB, XKL)
QND = (WTN, PHD)
GDM = (CDL, BGP)
QJT = (QTR, QTR)
WRL = (NRN, NRN)
DFS = (WCQ, NGD)
JCX = (XRT, WST)
XJH = (PXT, HPB)
JBH = (RVC, KVX)
MFP = (HWT, TQJ)
CJW = (GQV, GDM)
DVJ = (CQD, QBW)
SWM = (PRS, CWW)
MML = (BFM, XSX)
BMD = (NSR, TGC)
HWT = (QGP, KWJ)
HXX = (XDH, TGV)
GJC = (WBS, NJS)
JQW = (BTS, BTS)
QDL = (GXB, DHR)
GWC = (JLH, QVV)
PGK = (LDG, HPC)
SGW = (LBT, SRD)
RHL = (GDB, QGT)
GNQ = (KCD, VRK)
QJN = (GFJ, QRF)
BCW = (QTC, MRC)
XHL = (DCT, TBL)
QVV = (XPC, MKL)
BDV = (WPR, XTV)
ZZZ = (RHG, QJX)
RNZ = (LCR, KMG)
PNJ = (PMQ, TLH)
MJX = (DBK, LCZ)
QST = (NGJ, TPR)
CNM = (VRQ, KFL)
XTX = (HJS, JCR)
FVL = (MKV, GGV)
PBV = (CDP, CXH)
MJC = (PBL, NDT)
QRK = (VGK, BRN)
GGV = (XLB, LKR)
WKK = (RVD, SKD)
FLG = (LVF, SDW)
TVL = (NVW, CLW)
SWB = (BTS, TLV)
LTX = (KCD, VRK)
XRH = (WSV, SQF)
XLX = (XPP, NBV)
MBF = (WCN, LPC)
RLC = (BRJ, TJG)
FLW = (JGP, XHL)
BFM = (BNS, QKH)
MRP = (FHR, PSF)
CCP = (DTX, WJH)
NVW = (TTS, BSQ)
PTV = (BJM, CNM)
KMG = (XHM, CCG)
CDP = (NKN, CLT)
RJX = (KQW, FJB)
HSX = (WMP, HRP)
MNP = (BRJ, TJG)
CGF = (QPD, FQM)
CCS = (LVF, SDW)
DBK = (KXJ, BBN)
JLM = (LDW, QGL)
LBT = (FTX, WNW)
MXX = (KGD, RWT)
VPB = (JQR, PNJ)
TTS = (SGW, SHD)
LCZ = (KXJ, BBN)
RLS = (KGR, PQQ)
GJS = (BMQ, GTP)
SVT = (WRL, LWL)
KMC = (RHL, GNC)
WTC = (LVS, GLL)
AAA = (RHG, QJX)
SQD = (WKG, HDF)
TJN = (MJV, WHX)
RVC = (HXL, RSK)
BLT = (CDD, SJW)
XCQ = (RVC, KVX)
BJM = (VRQ, KFL)
FGC = (VPN, VFQ)
SHR = (FHW, JXT)
GGR = (PDP, WPJ)
GMT = (SVX, JPT)
SSR = (STG, HBL)
JGP = (DCT, TBL)
XRT = (RWB, XJH)
WRV = (RPJ, WMV)
PBL = (RMD, BXD)
NGJ = (MNP, RLC)
WRN = (GQK, PQD)
HMP = (CLR, HRS)
TPF = (LPT, CNT)
PBC = (MTP, FCQ)
DXL = (TKC, RFT)
PPB = (FKG, GQG)
KGD = (BDL, LHR)
FRW = (FLW, LCN)
RKG = (XMP, CSX)
FWP = (KSN, SWM)
NWB = (PBN, XKS)
CLT = (QND, VVM)
FQC = (DFP, FVT)
DTX = (VQK, DSQ)
TLH = (VWF, WRN)
JQK = (WMP, HRP)
LVD = (TXB, QQT)
SBX = (WWD, RVK)
LXP = (KVS, QJF)
TQV = (CTC, FWP)
KFW = (LCR, KMG)
MGJ = (LRF, BDG)
CBJ = (GQV, GDM)
BRN = (QJN, LWJ)
VND = (VQD, XLX)
XKS = (RMK, NLF)
BMQ = (JQK, HSX)
QKF = (MBF, TPD)
TDF = (FQW, XDL)
QLJ = (PCX, MGB)
GTP = (JQK, HSX)
GNC = (GDB, QGT)
GCC = (TXP, MJP)
LCN = (JGP, XHL)
KDW = (KFC, TCJ)
SDZ = (QLF, QDL)
QKH = (CPH, WRT)
FXJ = (RNX, FBC)
MKL = (JPN, FQC)
FNS = (HWT, TQJ)
MHC = (FNS, MFP)
TXP = (KGV, JLM)
SVB = (CCK, SQR)
DJM = (FGK, BLD)
FHW = (CLQ, CLQ)
RWT = (BDL, LHR)
NRN = (PHV, DCV)
PQD = (GGK, WLN)
RBL = (TWX, HTK)
VPN = (WTC, KRR)
RBC = (TRM, QNL)
KKM = (LPT, CNT)
FGD = (LDQ, FDG)
FTX = (FQJ, SFL)
LJV = (PPC, CGF)
TGV = (XGD, BHG)
GNN = (BMD, PHR)
QGT = (GDP, PGK)
FGK = (LTX, GNQ)
WPQ = (RCF, WNX)
VTB = (WGS, XDP)
WDP = (FLW, LCN)
WNW = (FQJ, SFL)
HTK = (VKG, KKR)
PXX = (LLX, KBP)
HBR = (WHM, FXJ)
NGT = (SSM, GXP)
FKX = (WHM, FXJ)
XHM = (JMM, FFT)
TWX = (VKG, KKR)
FNG = (KGD, RWT)
TCJ = (GPS, KLD)
GPF = (MFF, JKJ)
NGX = (NXV, FVS)
MFF = (XRH, RFS)
BDG = (TQV, NHK)
BMG = (GKL, VND)
JTL = (HDK, JSW)
KCD = (JRB, LKX)
TBL = (DXL, GFL)
TXB = (BBD, FPR)
GGP = (VVF, GJS)
PHR = (NSR, TGC)
HKC = (TPF, KKM)
CCG = (JMM, FFT)
LCR = (XHM, CCG)
CWS = (NGJ, TPR)
KDP = (PCX, MGB)
NKN = (QND, VVM)
HXH = (FGC, PJN)
FVS = (DVJ, GVG)
XVJ = (SVX, JPT)
XHR = (MKV, GGV)
RLP = (QTW, PQM)
VVM = (WTN, PHD)
VQD = (XPP, NBV)
VRK = (JRB, LKX)
BGP = (VMQ, RBH)
DXB = (BFM, XSX)
GGK = (GPF, KRV)
FVB = (JLH, QVV)
KTB = (FHW, JXT)
CLW = (TTS, BSQ)
GBT = (FGC, PJN)
JPT = (MSS, JRR)
NSR = (DCD, QMS)
NLF = (HBR, FKX)
HMW = (LSQ, MJX)
WCQ = (NWB, CTH)
GKL = (VQD, XLX)
NHK = (CTC, FWP)
WJH = (VQK, DSQ)
KXJ = (MSM, TWS)
NRK = (RLP, QLR)
SSM = (RJP, NGG)
MWC = (HJS, JCR)
QBG = (CHF, QKF)
WST = (RWB, XJH)
WTN = (TVL, KNL)
WMQ = (TXP, MJP)
FMF = (WPR, XTV)
KGV = (LDW, QGL)
JKJ = (XRH, RFS)
RVN = (CCK, SQR)
RVG = (KFC, TCJ)
FDR = (XCK, SWR)
GQV = (CDL, BGP)
MHQ = (TQR, KBV)
TQT = (PPC, CGF)
NFD = (VGK, BRN)
CTC = (KSN, SWM)
WRR = (XDH, TGV)
DFP = (KLC, RKG)
CDL = (VMQ, RBH)
BNS = (CPH, WRT)
QRF = (FRW, WDP)
WPJ = (NPS, JTL)
VQK = (GTF, FSH)
MPN = (LDQ, FDG)
PQQ = (JTF, HKB)
KKV = (QMM, MWB)
LVS = (WCS, SQD)
SKA = (LCR, KMG)
BSQ = (SGW, SHD)
VFQ = (WTC, KRR)
FXK = (TPL, MQK)
VLG = (RVG, KDW)
RNX = (QBG, BMM)
KFS = (JQR, PNJ)
SJH = (WKV, XFW)
BMS = (FBN, SLF)
FVG = (FGD, MPN)
GXP = (RJP, NGG)
GHF = (GKL, VND)
KPM = (CDP, CXH)
JQC = (QLF, QDL)
GND = (CDD, SJW)
PQB = (FQW, XDL)
XFW = (DCG, PBC)
FDG = (VVW, GSJ)
PHV = (CHK, KMC)
WWD = (XMJ, XMJ)
LDQ = (VVW, GSJ)
XPC = (JPN, FQC)
RSK = (GFK, GNN)
QTW = (PTV, SQT)
CSX = (KCV, NGT)
XLB = (KLN, WPQ)
NXF = (XVJ, GMT)
KRR = (LVS, GLL)
QJX = (DGM, MHQ)
KFL = (FVL, XHR)
QVW = (TDS, RBL)
QQG = (HMP, JXL)
SVX = (MSS, JRR)
XBB = (NWM, RBC)
TPL = (SBX, VKP)
MBB = (LXP, PMW)
CLQ = (LLX, LLX)
PBN = (RMK, NLF)
NPS = (HDK, JSW)
WRT = (XXM, VTB)
WLT = (MML, DXB)
JCP = (BKS, KVJ)
KFC = (GPS, KLD)
SFL = (DNV, VNQ)
KFB = (MRP, QWM)
MGB = (TQT, LJV)
XMP = (KCV, NGT)
TGC = (DCD, QMS)
PMW = (KVS, QJF)
CDD = (RCB, VJQ)
MTP = (FXM, QQS)
SQT = (BJM, CNM)
BTS = (KFW, KFW)
WMP = (JVH, QDH)
RVD = (XBN, LDR)
LLW = (WLT, JBS)
VFV = (FGK, BLD)
KVJ = (XTX, MWC)
HPC = (CBJ, CJW)
LDR = (LRL, MVQ)
XPP = (BBH, FSP)
HJM = (KVQ, DFS)
MSJ = (LCS, WLL)
LXH = (KGR, PQQ)
JXN = (KQW, FJB)
SPJ = (FKG, GQG)
GQS = (SFD, KFB)
CXH = (NKN, CLT)
WNX = (WKK, PXV)
CDQ = (LRF, BDG)
WQH = (XCK, SWR)
LHR = (KPH, KKV)
GVG = (CQD, QBW)
SHH = (WMQ, GCC)
QPD = (NDB, JCP)
MQL = (QTR, QBH)
JSW = (CVV, SLN)
BDL = (KPH, KKV)
SKD = (XBN, LDR)
MTH = (FGD, MPN)
WCS = (WKG, HDF)
NSG = (SPJ, PPB)
WTF = (FBN, SLF)
PRS = (HJM, SMF)
TLV = (KFW, RNZ)
BBH = (PQB, TDF)
RJP = (GHN, GQS)
PGL = (SPJ, PPB)
MQK = (SBX, VKP)
FBC = (QBG, BMM)
WGS = (LHS, PCN)
WHM = (RNX, FBC)
QJF = (GND, BLT)
CCH = (MBJ, VKV)
LVK = (GGP, TMM)
HKB = (DKL, BCW)
XDP = (LHS, PCN)
SHP = (DTX, WJH)
FSP = (PQB, TDF)
XPD = (LXP, PMW)
QBW = (VDM, MSJ)
WBJ = (WBS, NJS)
SFD = (MRP, QWM)
JPN = (DFP, FVT)
HPW = (WKV, XFW)
LHS = (MHC, TWR)
GFL = (TKC, RFT)
JVH = (QJT, QJT)
DSQ = (GTF, FSH)
RQR = (XBB, HMX)
RHG = (DGM, MHQ)
SCF = (MBJ, VKV)
KCV = (SSM, GXP)
MKC = (XVJ, GMT)
SLN = (CCS, FLG)
XGD = (KTB, SHR)
STN = (NXV, FVS)
NNP = (GJB, XKL)
XDH = (XGD, BHG)
RCF = (WKK, PXV)
PQM = (PTV, SQT)
GSJ = (FQS, RQR)
XKL = (KFS, VPB)
QMM = (NXF, MKC)
LSQ = (DBK, DBK)
WSV = (RLS, LXH)
RMK = (HBR, FKX)
LRL = (GHF, BMG)
HXL = (GFK, GNN)
KNL = (NVW, CLW)
WPR = (STN, NGX)
QLF = (GXB, DHR)
XKJ = (XRT, WST)
WCN = (GMM, RJW)
KLN = (RCF, WNX)
DHT = (PDP, WPJ)
RJW = (GDK, SHH)
KSN = (PRS, CWW)
BLD = (LTX, GNQ)
TJG = (QQG, VBF)
MKP = (NFD, QRK)
JTF = (DKL, DKL)
XTV = (STN, NGX)
CHK = (RHL, GNC)
PXM = (GGR, DHT)
NJA = (PHV, DCV)
LRF = (TQV, NHK)
JLH = (XPC, MKL)
MVQ = (GHF, BMG)
SLF = (NNP, RRT)
PXT = (MKP, RNJ)
CQD = (VDM, MSJ)
NDB = (BKS, KVJ)
TDS = (TWX, HTK)
BSX = (HXH, GBT)
GDB = (GDP, PGK)
KPH = (QMM, MWB)
GNH = (GGR, DHT)
SJW = (RCB, VJQ)
QDH = (QJT, MQL)
GPS = (WMN, TJN)
FQJ = (DNV, VNQ)
RFT = (RHQ, SVT)
BXD = (KDP, QLJ)
SRD = (FTX, WNW)
LDG = (CBJ, CJW)
WLL = (MXX, FNG)
FXM = (KMR, JFM)
RWB = (PXT, HPB)
TQJ = (QGP, KWJ)
JBS = (MML, DXB)
CLR = (GNH, PXM)
CHF = (MBF, TPD)
XBN = (LRL, MVQ)
XCK = (XPL, MJC)
FBN = (NNP, RRT)
WVR = (FDR, WQH)
TRM = (XKD, VLG)
GXB = (BJL, QVW)
JCR = (MVW, BSX)
MWB = (NXF, MKC)
GLL = (WCS, SQD)
WKV = (DCG, PBC)
HRZ = (PHV, DCV)
HJS = (MVW, BSX)
BBD = (MTH, FVG)
SHD = (LBT, SRD)
JXL = (CLR, HRS)
GDP = (LDG, HPC)
QWM = (FHR, PSF)
KRV = (MFF, JKJ)
QGF = (FDR, WQH)
XDL = (LLW, NWS)
RNJ = (NFD, QRK)
FQS = (XBB, HMX)
KQW = (NSG, PGL)
QGP = (CCH, SCF)
BJL = (TDS, RBL)
VVF = (BMQ, GTP)
DGM = (TQR, KBV)
HPB = (MKP, RNJ)
VBF = (HMP, JXL)
HRS = (GNH, PXM)
GHN = (SFD, KFB)
FCW = (RHG, QJX)
GDK = (WMQ, GCC)
TPR = (MNP, RLC)
NGD = (NWB, CTH)
WLN = (GPF, KRV)
PCN = (MHC, TWR)
PDP = (NPS, JTL)
