LLLLRRRLLRRRLRLLLLRRRLRRRLRRRLLLLRRRLRLRRRLLLLRRRLLLLRLLRLRLLLRRRLRLLRLLRRRLLRRRLLLRRLLLLRLRRRLRLRRRLLRLLLLRLRLLLLRRRLLLLRLLLRRRLRRRLLLRLLLLRLRLLLLRRRLLLRRRLRLLLLRLLRRLLLLRRLLRRLLLLRRRLLRRRLLLLRLLLLRRRLLLRLLLLRRRLLRRRLLLLRRRLRRRR

SQD = (HDJ, RJP)
RUK = (ICH, UBR)
GBD = (SCT, PLS)
TMM = (GFH, WIN)
DLJ = (UGM, BHP)
RVQ = (PKK, LMI)
LQG = (TOT, QMQ)
VUO = (XEO, PBS)
IFS = (SKR, LUF)
PQJ = (IUW, CUW)
XXO = (QYD, TGE)
PBS = (GKL, DBC)
VJU = (MPQ, XOS)
PIG = (HDV, HDV)
COV = (JHF, VLD)
IUW = (PDX, XSO)
JYZ = (VWP, GYR)
BJS = (CVO, TRV)
WRX = (QUS, TVM)
UQN = (GFH, WIN)
BCO = (JLF, NLU)
DJW = (CMG, CBJ)
OBA = (CQS, BVY)
FLB = (CMO, XOB)
DXI = (HIN, KBT)
GTH = (EBK, DFW)
USN = (WJX, YKM)
CYA = (VWP, GYR)
OVZ = (MPQ, XOS)
JXG = (GPO, JWK)
MSW = (DGO, CKU)
JSJ = (NYM, DVB)
JWJ = (GKF, ODY)
HTT = (IFJ, YUY)
KLJ = (JFR, RFQ)
BRP = (IFS, JMQ)
OQV = (JLF, NLU)
BHP = (CPC, RUK)
BME = (BVG, JPT)
GGQ = (JEK, PGY)
CIU = (QIQ, BCW)
JHK = (JHF, VLD)
WJK = (JFR, RFQ)
XON = (WRL, HUG)
IPN = (YGS, MJK)
DNC = (GSQ, KRP)
YGS = (SJK, RKU)
UXB = (FJS, JBY)
RUP = (CXU, PUK)
GVA = (MPQ, XOS)
GQB = (YTV, RCC)
SMW = (HIN, KBT)
REQ = (RKV, PHU)
DQE = (QQG, DNM)
ODI = (RTF, EWN)
ECJ = (SUR, RXK)
FWI = (SJS, EWT)
KYE = (OOT, JGD)
DWY = (VFP, HOT)
QMX = (GKF, ODY)
XSK = (YGG, PQJ)
VLD = (RYJ, MSW)
OMC = (VJU, VJU)
TNH = (JMS, CHF)
OOT = (YEY, FLB)
GSI = (DKX, YSW)
IWI = (NWV, KYE)
XDU = (CPH, BWL)
FFR = (JFP, VUT)
NIB = (HUL, YQT)
UBR = (UXB, NOH)
DNM = (YUD, GTH)
BXQ = (UGO, QDD)
OEN = (GPO, JWK)
OBF = (BXC, EBX)
KRP = (GGY, WFK)
HBN = (KUI, KKY)
DNW = (OHO, IWJ)
JTS = (PYS, OUE)
CLF = (VGV, SSD)
RVR = (CMG, CBJ)
HLY = (BWE, BWE)
GHR = (XIT, FQV)
SWC = (YIW, IGI)
SJK = (HVI, CWB)
XMI = (NND, NHM)
NSK = (IFD, JOD)
NWV = (OOT, JGD)
WVF = (NYM, DVB)
KUI = (OQM, DNV)
YHX = (QPX, TIG)
WVT = (GER, PTC)
OEU = (WRL, HUG)
MJK = (SJK, RKU)
JDL = (DNP, SXR)
NJL = (SYK, SHK)
XMM = (MRU, TMX)
ELV = (CLF, YCS)
CHF = (YOY, MKG)
CJX = (NKP, FNL)
OSW = (OWO, HIC)
KIJ = (VNQ, HCS)
PCS = (ITF, YIG)
XOB = (CIU, BCL)
YFE = (BRP, XHL)
ESO = (IBV, UHE)
MXG = (FWI, NLW)
LMQ = (OKI, MRR)
CEG = (SQD, GTS)
LEB = (BVN, CEG)
OGM = (WWH, WWH)
UHP = (XIT, FQV)
EBK = (RQR, GSI)
YII = (CNI, LPV)
FMC = (BKW, IUX)
HXM = (YRH, CFN)
OVR = (CLF, YCS)
QBM = (ONJ, XSK)
SIE = (YJO, PEU)
CVS = (YFE, OQX)
MKG = (LQG, NQT)
MRU = (SLV, WVI)
FXH = (LTL, UBC)
RWB = (OMC, MKU)
FJS = (EGD, FHC)
IHB = (UCK, BLI)
BXK = (UHP, GHR)
ORC = (TIB, RGY)
UCM = (UWV, GUP)
SHN = (OKI, MRR)
MPW = (VFP, HOT)
TRE = (LMQ, SHN)
TOW = (WGM, XXO)
UED = (JEK, PGY)
IFD = (TMJ, XSE)
TRV = (IVC, BYC)
MSN = (VVL, YPB)
YWT = (CVO, TRV)
MEG = (NLC, VHH)
YNJ = (BWE, PIZ)
PLS = (BQX, WLI)
QOM = (BXC, EBX)
FQY = (YHX, RTB)
HKN = (XDG, DYQ)
WLI = (QYE, SSH)
FNL = (BCO, OQV)
KTQ = (HXM, QOI)
FYB = (RDC, HTT)
XLN = (MSN, LDB)
YUJ = (UHP, GHR)
CUW = (PDX, XSO)
CBW = (BSK, NOR)
MLE = (SQQ, YBN)
NHM = (HUY, TQG)
JEK = (JWJ, QMX)
CPC = (ICH, UBR)
JLF = (MQJ, KSD)
FIU = (SMW, DXI)
YIW = (FFR, GCM)
XHL = (IFS, JMQ)
UXF = (QSO, VKM)
SXR = (JTR, GQB)
RJP = (JLG, CBW)
BEB = (XEO, PBS)
JGD = (YEY, FLB)
TBB = (LDS, JHQ)
YIG = (HKN, YGH)
NND = (HUY, TQG)
WVH = (HFN, TSH)
TTO = (XCI, DLJ)
DTT = (OIF, XMI)
EUJ = (SCT, PLS)
WWH = (HKE, HKE)
RCY = (XKS, XKS)
HBW = (XPY, DIP)
CUV = (PKK, LMI)
VKM = (RUP, UFE)
NCJ = (PJL, OHL)
JVN = (RKV, PHU)
KNG = (IHB, BGV)
CDG = (JPD, RUX)
PYL = (CVQ, LDX)
SFV = (CVN, MFE)
UCK = (OEN, JXG)
RKU = (HVI, CWB)
IGI = (FFR, GCM)
YEC = (NWV, KYE)
KBT = (TRE, LLQ)
YGG = (IUW, CUW)
YYM = (YFE, OQX)
YIY = (BEW, JFU)
PRB = (IFD, JOD)
QNL = (BVN, CEG)
XPY = (WVH, WHE)
SEM = (ESO, DYN)
QSO = (RUP, UFE)
DYN = (IBV, UHE)
XSE = (LGM, DBK)
SDI = (BXD, KTQ)
ILH = (KMH, LUI)
RHJ = (FWI, NLW)
QYD = (VST, HNB)
ITL = (UWL, VKQ)
SUR = (PYL, QTR)
SSD = (BWY, KIJ)
QQB = (YBT, FKC)
UWV = (BEB, VUO)
XNQ = (OVR, ELV)
IFJ = (YGL, QWB)
PQK = (GTF, YCF)
TGM = (BRN, SWC)
BLI = (OEN, JXG)
WWF = (JHK, COV)
JFU = (JDL, QCE)
MPQ = (YII, IBU)
PTN = (FYB, GFF)
CFN = (PTF, YYE)
HCX = (OHO, IWJ)
VWY = (CIX, WRY)
PTC = (GNQ, LJF)
JHQ = (MLN, CHB)
CKU = (BME, GEJ)
PUK = (CEL, QEN)
HFN = (IMI, OPB)
PGQ = (ERY, MPY)
FCH = (WWH, SMY)
BVG = (OTL, MLE)
YKM = (KNL, OKK)
YCF = (VWY, FEC)
YLF = (LCX, TDC)
EWN = (UXQ, MCU)
TOT = (ENL, KVR)
XSV = (RVQ, CUV)
UCU = (UWL, VKQ)
DQU = (PQK, SPF)
OFF = (UWV, GUP)
AAA = (WDT, ITM)
HNB = (QQB, MLB)
TKH = (QIR, QJC)
EBX = (FQY, TYI)
PTF = (QHY, HQT)
JMQ = (SKR, LUF)
VKQ = (QQW, XLN)
RRB = (JSJ, WVF)
TVM = (CJH, ODI)
TDC = (TMM, UQN)
VVL = (SIE, FXN)
HTP = (USN, ROB)
UGV = (DQU, IWY)
CPH = (JYI, UHF)
EIH = (QIR, QJC)
JFP = (JUW, RRB)
HOT = (DFR, YCC)
HTS = (TSF, KNG)
VJW = (JGE, GJN)
BVA = (UUE, UPP)
TDK = (UGO, QDD)
EJS = (BPK, GVD)
OKK = (UOM, EJD)
JWK = (SYL, EJS)
WDT = (TDK, BXQ)
ENL = (IPN, XRL)
QXS = (JMS, CHF)
YYE = (QHY, HQT)
HKE = (YXO, UGV)
NFX = (XUM, FUN)
OGT = (CJP, CJX)
DVB = (REQ, JVN)
MSH = (LJD, PCS)
UOY = (WQJ, HCB)
RYJ = (DGO, CKU)
ILD = (RUJ, HTS)
HCS = (UOG, JYZ)
KMH = (RCY, RCY)
BWY = (VNQ, VNQ)
JPD = (OGT, NQO)
GJN = (BXL, YLF)
BPK = (UED, GGQ)
DNV = (FIB, RUL)
LTC = (BEW, JFU)
DRU = (KUI, KKY)
KVR = (IPN, XRL)
WJX = (KNL, OKK)
REO = (OVR, ELV)
QHY = (EUU, JDJ)
LTL = (VJW, OVD)
JUX = (TXP, HIP)
DFR = (SUY, PTN)
CPT = (SMW, DXI)
UOB = (XPY, DIP)
OHO = (FOF, ETY)
BXC = (FQY, TYI)
YXO = (DQU, IWY)
YEY = (CMO, XOB)
FOF = (DDC, UXF)
MLB = (YBT, FKC)
DIP = (WVH, WHE)
DDC = (QSO, VKM)
UXQ = (MYQ, SEM)
XRL = (YGS, MJK)
DKX = (REO, XNQ)
JDJ = (ERN, XDU)
GNQ = (BPF, BWJ)
JLG = (BSK, NOR)
VUT = (JUW, RRB)
JYI = (FLC, DNC)
ETJ = (SDI, JJH)
RCC = (GBD, EUJ)
QCE = (DNP, SXR)
RTB = (QPX, TIG)
LHI = (CVN, MFE)
NLU = (MQJ, KSD)
GLB = (QQG, DNM)
BRL = (VGX, WSG)
NOH = (FJS, JBY)
JHF = (RYJ, MSW)
OUE = (ETJ, GWF)
DBC = (JGV, HXI)
CIX = (NFX, UNS)
OQM = (FIB, RUL)
GFH = (SDW, CDG)
EEU = (OIF, XMI)
VGX = (DSS, ILH)
FQV = (PUB, NCJ)
DNP = (JTR, GQB)
JDQ = (DNW, HCX)
KJR = (DLM, IEV)
GCM = (JFP, VUT)
QPX = (YEC, IWI)
CXU = (CEL, QEN)
YXK = (LTQ, LTQ)
FXN = (YJO, PEU)
TIB = (YWT, BJS)
VIJ = (WGM, XXO)
BKW = (UIP, JRR)
XEO = (GKL, DBC)
MDB = (WLX, LIJ)
MYQ = (ESO, DYN)
