LLLLRLLLLRRRLLLLRLRRLLLLRRRLLRLRRRLLLRRLLLLRLRRRLRLLLRRRLLLRRRLLLLRRRLLLRRRLLLLRRRLRRLRLLRLLRLLLRRRLLLLRRLLLLRLRRLLLLRRRLLLLRRLLLLRRRLLLLRRLRRRLRLLRLLRRRLLLLRRRLLRRRLLLLRRRLRRRLRRRLLRRRLLRRRLRLLLLRRLLLLRLLLRRRLLRRRLRRRLRRLLLLRLLLLRRLLLLRRRLRRRLLLLRRRLRRRLLLLRRRLLLLRRRR

NSX = (QMW, HMF)
XCC = (SMM, VPP)
HCT = (HKT, BHF)
PKR = (XGX, NCV)
TVT = (QDS, GWV)
CKG = (DLJ, TVN)
BBM = (BVJ, DDG)
WKS = (RMN, RKL)
TBX = (LKN, VPW)
CPC = (XQN, FVQ)
RKV = (GKV, LGS)
RQD = (CPC, HTR)
VPW = (RFG, GGH)
XGJ = (DLC, XCC)
JHK = (CPX, GWF)
DWV = (HPQ, JQL)
RFL = (NXH, WDN)
CFH = (BPB, MCC)
LKN = (RFG, GGH)
XJL = (NFT, CVF)
GCP = (DKN, PFD)
CKW = (XTP, XWW)
MVX = (SWR, SWR)
SJB = (BFS, MRN)
FNQ = (TVT, BVS)
JJN = (HKT, BHF)
HVX = (VRR, XNN)
PMV = (SHM, QVB)
MSH = (PNP, BLW)
BLW = (DWV, LDP)
JQL = (TMB, MWC)
BVJ = (RHB, GKL)
SVL = (HFJ, HFJ)
PHG = (RLN, FRG)
QQG = (TKG, LXG)
NJM = (VHG, DDK)
CDG = (MVX, MVX)
VTR = (TXN, MTD)
VBF = (HVG, TGX)
GHR = (QQG, PTG)
WSC = (HFW, MHV)
GSZ = (BML, VDP)
VCF = (GBR, QFM)
SHT = (MJS, RQJ)
LVP = (DBV, XTF)
WFJ = (PCC, TVF)
NHV = (TRW, FTW)
DNV = (QNV, QWZ)
PTW = (RXD, CRD)
HPQ = (TMB, MWC)
RQB = (GCP, FDH)
TSS = (KPQ, QCP)
HJV = (PCC, TVF)
DXT = (NNT, NSK)
JXC = (VCV, ZZZ)
LVX = (RBS, BCR)
JSB = (XGS, VWM)
NWJ = (NLD, VGD)
XVP = (XCG, TFP)
TVV = (MDD, DBP)
FMP = (FLG, RTN)
RBS = (DLQ, MTQ)
BQQ = (GHL, BBM)
MTS = (NNT, NSK)
WTD = (QST, PHX)
LWP = (KNW, GBG)
MWH = (RHJ, HGT)
KST = (FGD, SCV)
FRL = (QBR, XSB)
BCR = (DLQ, MTQ)
TVN = (BVK, SLW)
GLM = (DFC, SSX)
GRJ = (DBW, XDR)
PDF = (NCN, HQV)
KDL = (RTC, BQP)
LMN = (TBX, SHW)
GLH = (SMQ, SXV)
QPV = (WMM, TLN)
DBV = (FNQ, JQJ)
KFM = (WVS, NBR)
FKF = (DBV, XTF)
BSG = (SCN, JPK)
BWT = (SJC, FHQ)
TKG = (JJN, HCT)
GJH = (WQR, XJM)
KCN = (QSN, TPL)
TJV = (VBF, SJT)
VQT = (XJH, FSS)
XLP = (MSW, SDH)
GBG = (DNR, BHH)
SVF = (CNX, CTQ)
XQN = (WCN, KDR)
LRD = (LVP, FKF)
XBK = (RTC, BQP)
LMM = (KKM, JWQ)
TWD = (BSD, SWQ)
XWW = (CQT, VTS)
MHV = (FSG, TQX)
KBK = (XGJ, NRQ)
HGT = (JHK, PMX)
TTP = (KSN, QJV)
NLV = (NJT, QFX)
LKR = (KNP, XMV)
GHL = (BVJ, DDG)
KLX = (VLP, LNR)
DRL = (KCT, MWH)
JCJ = (VDW, KHG)
RPM = (JTL, WSQ)
WSH = (RGD, XQJ)
AAA = (XRR, BTJ)
GWF = (WHM, TTV)
NGW = (LMD, CCX)
NFC = (VFL, XGT)
TMB = (HJV, WFJ)
LKL = (TCV, XLL)
JGC = (QXJ, NLV)
XHM = (BLG, QTP)
BQP = (MQN, GQN)
TXR = (GSH, GDC)
CQD = (JLM, XDW)
RKL = (LKJ, QSW)
MTQ = (JGC, CHG)
TVF = (LSR, PCX)
CGP = (MQS, CXX)
VNB = (CXV, HMJ)
NNV = (VHG, DDK)
LFP = (SHN, GSC)
TMM = (QWN, DSF)
PWK = (XGF, LFP)
LKJ = (KJT, TDF)
SSX = (LKL, HRX)
KSN = (NMH, PHG)
HGV = (VLP, LNR)
FTW = (HVQ, QSK)
NFN = (TVV, CBC)
DBW = (PNR, SLG)
RFG = (LPK, MGC)
FMB = (GHL, BBM)
NVB = (FHK, NFN)
CVC = (HDV, VSK)
GSH = (CQH, KRK)
HDJ = (XTX, TVM)
RDQ = (WKS, MJT)
WVV = (GDX, KSG)
DBF = (HFW, MHV)
HFJ = (BML, VDP)
VCW = (MML, DRL)
VLP = (KBM, PDK)
WKL = (LVX, BQJ)
NBV = (GBR, GBR)
DFJ = (TCG, PGB)
KNW = (DNR, BHH)
HDV = (TVS, KST)
XDW = (DTC, RMD)
HFL = (CNX, CTQ)
PDK = (LLR, GCR)
SND = (CFT, QKR)
HJR = (HKQ, HDJ)
XGF = (SHN, GSC)
PPK = (NJW, BWT)
NBR = (DPS, FMF)
XPF = (VJL, GDM)
KDR = (GHN, DKG)
BFS = (BBG, TJV)
QFX = (TPN, CXP)
HXV = (PSC, NGW)
WJT = (PJH, XRK)
PJH = (GHX, DBC)
BQH = (GHR, GDZ)
BHH = (XLP, QCF)
QWZ = (CNS, DTQ)
DLQ = (JGC, CHG)
RLS = (VQT, HGS)
RNB = (GCD, XKN)
RTN = (PDJ, KPV)
CNJ = (NJW, BWT)
HVQ = (KDK, DBN)
VSL = (CBK, WMD)
DRF = (TTP, TWS)
NKF = (PNP, BLW)
SWX = (QST, PHX)
NLL = (RFL, PRG)
QXT = (LKR, GRH)
CBW = (BSG, LNH)
BNV = (NNV, NJM)
PCC = (LSR, PCX)
PVR = (QWN, DSF)
VWD = (NFC, KBG)
WPF = (DFC, SSX)
VVS = (CBK, WMD)
LXG = (JJN, HCT)
LKT = (BHD, DFT)
HTR = (XQN, FVQ)
MJT = (RMN, RKL)
NXH = (CDD, HGK)
XDR = (PNR, SLG)
XGT = (RPM, GCG)
XJH = (NBQ, MXF)
BBZ = (SHJ, LWS)
RRK = (KXL, JBM)
FBK = (RCJ, LQB)
SKW = (MWS, HXV)
GCG = (JTL, WSQ)
THJ = (VQS, THM)
SNT = (XWP, WWH)
SHW = (LKN, VPW)
PKP = (VNB, PKJ)
SHM = (GLJ, PSP)
WVM = (CGP, DPF)
JTR = (HTV, PKP)
CFT = (FCT, NJV)
GRH = (KNP, XMV)
RQJ = (VSJ, XPH)
TLN = (WWB, QDV)
LNH = (SCN, JPK)
LLR = (TCM, KFM)
WQR = (BLB, NNG)
GWW = (THS, THS)
TVS = (FGD, SCV)
CBC = (MDD, DBP)
PSQ = (QFN, SNT)
FML = (KXL, JBM)
BQJ = (RBS, BCR)
JBM = (MSH, NKF)
BBG = (VBF, SJT)
QCP = (BTP, JHS)
CTQ = (TXR, SGF)
GLJ = (DGF, RFK)
TCM = (WVS, NBR)
HRD = (XCV, HJR)
MTD = (RDQ, CWK)
DDK = (CWV, KCK)
FSS = (NBQ, MXF)
PDJ = (JCJ, BLC)
TCG = (KBV, TNP)
DCJ = (TBX, SHW)
JMT = (LRD, RBL)
SFW = (MTS, DXT)
LLF = (XHW, PNS)
QST = (MVQ, FQN)
KPV = (JCJ, BLC)
KMH = (BLG, QTP)
GHX = (NSJ, PJR)
GKV = (XFS, SFW)
XLL = (WTN, RKD)
VSX = (JMR, RKN)
HDP = (CTB, CBW)
JQX = (QMW, HMF)
CBM = (WVM, WFL)
VPP = (VLN, QHG)
SHJ = (CVC, QBM)
BBK = (JJK, BBZ)
SBW = (MSB, RQB)
VDW = (JBB, NHV)
NVG = (JLM, XDW)
RFK = (SDC, DRQ)
XGS = (JQS, SHT)
DLJ = (BVK, SLW)
BHF = (PBD, SJB)
VCB = (GDX, KSG)
CQH = (LXF, TFT)
QTG = (GCD, XKN)
DFK = (XCG, XCG)
HTV = (VNB, PKJ)
KXL = (MSH, NKF)
BTJ = (PKT, LLF)
WMA = (QQG, PTG)
CXX = (LXQ, TRM)
KPJ = (SND, MSV)
TTV = (QPV, QGJ)
GVD = (HLL, HHH)
KPF = (RRK, FML)
JFN = (XGX, NCV)
FQZ = (FLG, RTN)
RCJ = (HLC, VPM)
QBM = (HDV, VSK)
XSB = (TJG, KJN)
FFQ = (GGX, BNV)
THS = (QNV, QNV)
ZZZ = (XRR, BTJ)
WWH = (CNJ, PPK)
BVS = (QDS, GWV)
XQB = (BHX, WRC)
RHB = (CBM, CGL)
FPX = (RFL, PRG)
FQN = (BQQ, FMB)
SCD = (JMT, KVS)
KJK = (SBW, KWP)
KCT = (RHJ, HGT)
LSS = (PWK, LGN)
BHL = (QBR, XSB)
XRK = (GHX, DBC)
NSK = (NJB, MLL)
RGG = (DNQ, BSC)
CKR = (THS, DNV)
XVR = (HLL, HHH)
DTS = (KDL, XBK)
QSK = (KDK, DBN)
LMD = (FFX, JWD)
FRG = (KTX, CDJ)
VPM = (CKW, FMR)
VSC = (XHM, KMH)
WCN = (GHN, DKG)
SCN = (SNP, GJH)
PJB = (GWW, CKR)
KLL = (VCV, VCV)
DKG = (FSJ, NVB)
HKT = (PBD, SJB)
HTN = (CQD, NVG)
NBQ = (HXH, KHV)
HHH = (SWX, WTD)
NNG = (HRD, HWS)
BVR = (LSS, JMK)
SNP = (WQR, XJM)
WVJ = (JMR, RKN)
PJR = (GRJ, NJQ)
QFN = (XWP, WWH)
WDN = (CDD, HGK)
RKN = (VVS, VSL)
FDN = (LVX, BQJ)
RLP = (SHM, QVB)
WMM = (WWB, QDV)
XWP = (CNJ, PPK)
BML = (BPF, MQC)
NJV = (GWH, VDM)
JXW = (RPF, VJS)
FSG = (HTN, XHH)
VRR = (QTG, RNB)
SMQ = (NQH, JLH)
MWS = (PSC, NGW)
PSP = (DGF, RFK)
JLM = (DTC, RMD)
JBB = (TRW, FTW)
SCV = (GLM, WPF)
QTP = (LJM, XQB)
NNR = (SVF, HFL)
CWK = (WKS, MJT)
PKT = (XHW, PNS)
BSD = (RLP, PMV)
DLC = (SMM, VPP)
GSC = (LMN, DCJ)
TGX = (XJL, JRB)
BFB = (KPF, QWC)
RMN = (LKJ, QSW)
DBP = (KGQ, VXQ)
JLX = (TCG, PGB)
QCF = (MSW, SDH)
DDG = (RHB, GKL)
JRR = (HTV, PKP)
VLN = (DCL, MQM)
NJW = (SJC, FHQ)
XTP = (CQT, VTS)
TVM = (KKH, XCQ)
KHJ = (KWB, CKG)
KFH = (LMM, PMR)
RGW = (LMM, PMR)
TQX = (HTN, XHH)
MDD = (KGQ, VXQ)
MVL = (CPC, HTR)
QKA = (FLG, RTN)
FJF = (VRR, XNN)
XHH = (CQD, NVG)
WNB = (GWW, GWW)
HVG = (XJL, JRB)
QDB = (TTP, TWS)
KCK = (LWP, CXQ)
LGN = (XGF, LFP)
KKM = (QDB, DRF)
HFW = (FSG, TQX)
GCD = (BVR, DWT)
TDF = (HPH, QFD)
NJT = (TPN, CXP)
TLM = (BWS, TSS)
TPL = (DTS, DQX)
HKQ = (XTX, TVM)
CQT = (TMM, PVR)
PNR = (RKV, WQF)
XNN = (QTG, RNB)
GQN = (GCX, STH)
MML = (KCT, MWH)
VDM = (QNX, CFH)
PNS = (TGR, PDF)
GQX = (VFQ, WSH)
WNW = (QSN, TPL)
WMD = (RLS, BBL)
RTC = (MQN, GQN)
JRB = (NFT, CVF)
CRD = (HTJ, FFQ)
RHJ = (JHK, PMX)
NCV = (NKK, TSQ)
DBN = (WKT, VCW)
HPH = (JQX, NSX)
HTJ = (GGX, BNV)
KKK = (VFQ, WSH)
XXQ = (RXD, CRD)
HTW = (SBW, KWP)
BPF = (HRG, JDG)
VXQ = (JLX, DFJ)
MVQ = (BQQ, FMB)
DNQ = (FHX, MMH)
SWR = (JJK, JJK)
NVQ = (MVX, PSN)
DTQ = (THJ, MLB)
PHR = (SVF, HFL)
QBA = (SHJ, LWS)
HQV = (KHJ, JXD)
LCK = (XGJ, NRQ)
NRA = (BML, VDP)
HRX = (TCV, XLL)
XCQ = (JXW, HNS)
LPK = (JGG, SKW)
BTP = (WVP, TWD)
DGF = (SDC, SDC)
JMN = (BHD, DFT)
QFM = (FMP, FQZ)
FHX = (PMM, BFB)
HRG = (RGG, KDB)
QFD = (JQX, NSX)
DFC = (LKL, HRX)
VSJ = (WNB, PJB)
NLD = (TTC, PVJ)
GWV = (DLS, VSC)
GKL = (CBM, CGL)
KKH = (JXW, HNS)
SXV = (NQH, JLH)
QBR = (TJG, KJN)
MLL = (QXT, WNV)
BWS = (KPQ, QCP)
FVQ = (WCN, KDR)
MSV = (CFT, QKR)
NMH = (RLN, FRG)
RGD = (TBT, TBT)
NNT = (NJB, MLL)
QWN = (RQD, MVL)
XRR = (PKT, LLF)
VJS = (CDG, NVQ)
GDX = (MDX, VXX)
XTX = (KKH, XCQ)
JPK = (SNP, GJH)
CDJ = (NLL, FPX)
FGD = (GLM, WPF)
KVS = (LRD, RBL)
LXF = (RRT, WRF)
WRC = (NBV, VCF)
BBL = (VQT, HGS)
FFX = (VVJ, HDP)
DTC = (HGV, KLX)
PHX = (MVQ, FQN)
KPQ = (BTP, JHS)
VHG = (CWV, KCK)
MQS = (LXQ, TRM)
NKK = (KKK, GQX)
DPS = (RGW, KFH)
DWT = (LSS, JMK)
GDM = (VWD, XQL)
SMM = (VLN, QHG)
KWP = (MSB, RQB)
HLX = (XGS, VWM)
XPH = (WNB, PJB)
CXP = (DFK, XVP)
TNP = (KBK, LCK)
THM = (DBF, WSC)
JMR = (VVS, VSL)
PTG = (TKG, LXG)
NTQ = (SMQ, SXV)
TBT = (GHR, GHR)
MXF = (HXH, KHV)
PRG = (NXH, WDN)
HGS = (XJH, FSS)
LQB = (HLC, VPM)
QWC = (RRK, FML)
VGD = (TTC, PVJ)
JWD = (VVJ, HDP)
DSF = (RQD, MVL)
QNV = (CNS, DTQ)
FLL = (RCJ, LQB)
WKT = (MML, DRL)
WVS = (DPS, FMF)
KJT = (HPH, QFD)
RPF = (CDG, NVQ)
CWV = (LWP, CXQ)
VWM = (JQS, SHT)
TFP = (SVL, HND)
KDK = (WKT, VCW)
KBG = (VFL, XGT)
XCG = (SVL, SVL)
FTF = (VSX, WVJ)
GGH = (LPK, MGC)
WFL = (CGP, DPF)
NRQ = (DLC, XCC)
KWB = (DLJ, TVN)
DKN = (PTW, XXQ)
JXD = (KWB, CKG)
LNR = (KBM, PDK)
VFQ = (RGD, RGD)
JGG = (MWS, HXV)
LWS = (CVC, QBM)
SGF = (GSH, GDC)
GHN = (FSJ, NVB)
VXX = (JFN, PKR)
CDD = (LPV, NWJ)
GWH = (QNX, CFH)
PFD = (PTW, XXQ)
MSB = (GCP, FDH)
GGX = (NNV, NJM)
SJT = (HVG, TGX)
XCV = (HKQ, HDJ)
GDC = (CQH, KRK)
DCL = (KBX, KPJ)
CCX = (FFX, JWD)
GCR = (TCM, KFM)
MSW = (JRR, JTR)
LSR = (LQJ, STJ)
DWH = (BWS, TSS)
XJM = (BLB, NNG)
NFT = (PHR, NNR)
KHV = (TLM, DWH)
KJN = (JSB, HLX)
NQH = (SWB, VTR)
MCC = (BHL, FRL)
JSM = (VJL, GDM)
RBL = (LVP, FKF)
CXV = (FTF, CBS)
CNS = (THJ, MLB)
QJV = (NMH, PHG)
JMK = (PWK, LGN)
MJS = (VSJ, XPH)
SLG = (RKV, WQF)
CBK = (RLS, BBL)
KBX = (SND, MSV)
XQL = (NFC, KBG)
TFT = (RRT, WRF)
NCN = (KHJ, JXD)
VDP = (BPF, MQC)
VVJ = (CTB, CBW)
BVK = (HTW, KJK)
NSJ = (GRJ, NJQ)
TGR = (NCN, HQV)
LDP = (HPQ, JQL)
RRW = (QFN, SNT)
NJB = (QXT, WNV)
MGC = (JGG, SKW)
VQS = (DBF, WSC)
VSK = (TVS, KST)
TXN = (RDQ, CWK)
LPV = (NLD, VGD)
BLC = (VDW, KHG)
RLN = (KTX, CDJ)
FHQ = (HTK, WJT)
CHG = (QXJ, NLV)
QSN = (DTS, DQX)
WTN = (FJF, HVX)
BLG = (LJM, XQB)
FSJ = (FHK, NFN)
CXQ = (KNW, GBG)
XHW = (TGR, PDF)
BLB = (HRD, HWS)
KBV = (KBK, LCK)
DPF = (MQS, CXX)
RKD = (FJF, HVX)
MQN = (GCX, STH)
MQM = (KBX, KPJ)
NJQ = (DBW, XDR)
CNX = (TXR, SGF)
VCV = (XRR, BTJ)
MWC = (HJV, WFJ)
HXH = (TLM, DWH)
WVP = (BSD, SWQ)
PCX = (LQJ, STJ)
KRK = (LXF, TFT)
WWB = (WNW, KCN)
WRF = (PSQ, RRW)
PGB = (KBV, TNP)
HLL = (SWX, WTD)
HTK = (PJH, XRK)
MDX = (JFN, PKR)
KNP = (LKT, JMN)
PNP = (DWV, LDP)
HNS = (RPF, VJS)
SHN = (LMN, DCJ)
SJC = (HTK, WJT)
PBD = (BFS, MRN)
DQX = (KDL, XBK)
CPD = (JMT, KVS)
GBR = (FMP, FMP)
XGX = (NKK, TSQ)
CVF = (PHR, NNR)
RXD = (HTJ, FFQ)
QXJ = (NJT, QFX)
KHG = (JBB, NHV)
CGL = (WVM, WFL)
TTC = (FBK, FLL)
VJL = (VWD, XQL)
PKJ = (CXV, HMJ)
TPN = (DFK, XVP)
SLW = (HTW, KJK)
QVB = (GLJ, PSP)
QHG = (DCL, MQM)
JWQ = (QDB, DRF)
QMW = (GVD, XVR)
DLS = (XHM, KMH)
JTL = (VCB, WVV)
HMJ = (FTF, CBS)
MRN = (BBG, TJV)
GDJ = (WKL, FDN)
XTF = (FNQ, JQJ)
DNR = (XLP, QCF)
QSW = (KJT, TDF)
CBS = (VSX, WVJ)
FMR = (XTP, XWW)
XMV = (LKT, JMN)
KDB = (DNQ, BSC)
WSQ = (VCB, WVV)
VTS = (TMM, PVR)
PMX = (CPX, GWF)
SWQ = (RLP, PMV)
TJG = (JSB, HLX)
STH = (SCD, CPD)
JQJ = (TVT, BVS)
JDG = (RGG, KDB)
BPB = (BHL, FRL)
CPX = (WHM, TTV)
TWS = (KSN, QJV)
FHK = (TVV, CBC)
MMH = (PMM, BFB)
BHD = (JSM, XPF)
