LRLLRLRRLLRLLLRRRLRLLLLRLLLLRRRLLLLRRRLRLLRLLLLRRLLLLRLLLLRLLLLRRLRRRLRRLRLLLLRRRLRLRRLLLLRRRLLLLRLLRRLLLRRRLLLLRRRLLRRRLLRRRLLLLRLLRLLLLRLRRRLRRRLLLLRRRLRLRRLRRLLLLRRLLLRRRLRRRLLLLRRRLLLLRRLLLRLLLLRRRLLLRLLLRRLLLLRRRLLLLRRRLRLRRRLRLLRLRRLLLLRLLLLRLRRRLRLLLLRRRLRRRLRRLLLRLLLLRRRLLLLRRLRRRLLLLRRRLLRRRLLLLRLLRRRLLRRRR

NWJ = (WPN, SWP)
DNJ = (GVH, CDP)
DJF = (LKP, TPC)
DGM = (PWR, GWK)
LLH = (HBW, HBW)
WDA = (VPS, MHV)
BFJ = (HBH, RLM)
KCV = (PFL, QRK)
KJX = (MJL, RHJ)
RBL = (CFN, RQP)
JRW = (HFL, KPR)
THH = (VQT, NFC)
VVQ = (XLK, MHD)
NDQ = (GSL, KGW)
TRH = (SHR, LNX)
JHC = (CJP, NRF)
KPQ = (DQW, XXX)
DXL = (LSX, BKC)
WDH = (SVN, MDP)
LSM = (GHR, XHD)
MHD = (TGJ, VKR)
SMP = (LKP, TPC)
WKR = (XDK, CFG)
VWQ = (TRJ, SKM)
VWB = (CWS, KDL)
QTK = (WJB, MNL)
XXC = (PPL, RQC)
RQP = (CKK, NQN)
LXG = (FFP, MGM)
RBR = (SWJ, DLD)
CFJ = (VKJ, QND)
NXH = (KSJ, XTR)
GRV = (GVK, NWJ)
DRR = (HBH, RLM)
CMB = (RWV, VGQ)
GKV = (TPQ, HKJ)
WXM = (HKQ, HGH)
FKB = (BQP, KRJ)
XSV = (KWV, NHV)
VVS = (JRJ, BHX)
HHW = (GHX, RHL)
LQT = (WRP, FBD)
HTS = (GDN, CJD)
FGC = (LQR, DKM)
NJM = (XHW, CKG)
DRB = (NNN, WDC)
XVF = (QPP, BBP)
SGR = (NCN, BMW)
HNQ = (NWL, GHC)
WSP = (BDN, CBS)
DHZ = (VPS, MHV)
XBX = (VKK, WTH)
BFL = (RKK, PXV)
WWC = (HHW, GXH)
LST = (NHJ, JKG)
DQR = (QBW, TKV)
GCX = (RBB, HCS)
KFG = (KFR, KSQ)
QPP = (CKT, SFG)
GTX = (JRJ, BHX)
TQR = (XBX, GXB)
FSH = (VFF, KQG)
XHW = (WSP, WVB)
BNQ = (PSH, PTT)
MJL = (TFJ, NDQ)
TLB = (XFH, DXL)
VNL = (TLW, BQG)
MCT = (GSD, DRB)
JXM = (HDD, KKK)
DQW = (XJW, QGW)
CFF = (MLD, XTQ)
HPF = (JVS, FCH)
CBB = (GND, VBH)
HXD = (JCV, KCR)
XJC = (SVN, SVN)
LWR = (TJH, VDL)
LCV = (LJS, LPG)
XSH = (JPJ, TVM)
KDL = (LMB, DVH)
FCH = (PGF, LMJ)
SNK = (NQG, MVQ)
JJV = (XGT, KSB)
BTK = (VDM, JVB)
LMB = (XHQ, JMB)
RXG = (BDG, FFD)
DHN = (MJL, RHJ)
SXS = (XJM, XJM)
XWG = (KFR, KSQ)
PBP = (LCT, XVF)
VBG = (CNR, GDW)
MLD = (CQN, NDK)
DGH = (MTJ, RWN)
MKW = (TBD, RMG)
GWK = (JFC, WBB)
TVM = (DMQ, RJB)
GLV = (RWK, SNK)
GDW = (JXM, GJN)
TFJ = (GSL, KGW)
PWR = (JFC, WBB)
GDN = (SBL, XQV)
NLF = (VFH, VVQ)
JXS = (GBB, DXF)
WWX = (HVV, GBH)
NKT = (QXK, LFH)
BBP = (CKT, SFG)
NQG = (LRK, CLJ)
KFA = (HNB, XVT)
SJN = (NVK, VXC)
SSR = (JSB, CFJ)
XMW = (JSB, CFJ)
BXT = (XBX, GXB)
BJT = (KXH, GPS)
MNL = (PDR, XSV)
LFH = (BKK, WXM)
KXH = (NLF, DGK)
PHP = (PXP, GLG)
GTM = (HXD, LRT)
RKH = (SSR, XMW)
RSS = (GRN, RRD)
KFN = (DGM, DBD)
FXW = (MQF, XFL)
NCP = (LRF, CVC)
CLJ = (TFC, SPL)
WCC = (DLF, GMQ)
PRV = (CLS, KJQ)
SBL = (VGX, MFH)
CFN = (CKK, NQN)
SHR = (SQP, KLK)
CDZ = (HNB, XVT)
DLJ = (XJC, WDH)
GJD = (STL, CGJ)
BPF = (CFN, RQP)
LNH = (VWQ, XRF)
KNR = (SFF, DLJ)
JQX = (TVL, MKW)
GVL = (NPW, THV)
TPS = (TKC, NDJ)
VPR = (HJV, FDB)
WRP = (DRR, BFJ)
VWK = (KJJ, PWS)
TPC = (NTJ, CFF)
PPR = (DJC, WWX)
BKC = (NJM, GRQ)
GBB = (LCV, MWK)
VXM = (XJX, KHW)
VBH = (SKV, BTK)
HKJ = (KNR, CBG)
KJB = (BQP, KRJ)
NDP = (HGW, LXG)
TWR = (CFC, LLV)
BDN = (LSM, KTS)
JLW = (VBG, BTB)
XGT = (FKB, KJB)
QCN = (PMD, VBF)
TFP = (XQT, VTM)
THQ = (CVL, NVG)
QJS = (RWV, VGQ)
LXX = (DJF, SMP)
NCN = (GRV, QNT)
DXF = (LCV, MWK)
STC = (XJM, JRF)
VGX = (BJK, HKF)
VQG = (BCT, NXL)
LNX = (SQP, KLK)
TTH = (FXP, FWG)
KCT = (XGT, KSB)
CKG = (WSP, WVB)
VTM = (RBR, MFG)
VJQ = (LCT, XVF)
VSP = (XSH, XGH)
KJJ = (RTT, WLW)
HTP = (VVS, GTX)
QRK = (CCQ, HPF)
GJT = (CCG, MSX)
QNT = (GVK, NWJ)
FBR = (CNN, CBB)
NNN = (RBL, BPF)
TRD = (SDP, WGC)
KWV = (FSH, TBC)
XXV = (VQG, VLL)
VWS = (QXK, LFH)
WVW = (PVN, BNQ)
GRN = (FDF, NDT)
TBV = (SLW, SLW)
XJM = (VCK, VCK)
KRC = (XWG, KFG)
TBD = (JTR, VWB)
FDJ = (XSH, XGH)
GBH = (BCL, FDL)
JKG = (GJD, SWK)
JVB = (XHG, DTT)
GJH = (FXP, FWG)
BSC = (NVP, LQF)
RFV = (PMM, VPF)
FDF = (LFC, HHC)
SXX = (TVL, MKW)
MSM = (SMQ, QJG)
VXV = (QVT, SVM)
VFV = (GFJ, RPW)
CQL = (WLB, XXC)
KPR = (SLT, FMH)
NSA = (KCT, JJV)
TWD = (DGM, DBD)
TTR = (GFJ, RPW)
VVF = (VPS, MHV)
LKP = (NTJ, CFF)
QMP = (MCT, LBG)
GMQ = (JHC, JTM)
FDL = (GKV, SSP)
HBW = (QTP, QTP)
GSD = (NNN, WDC)
XHG = (NVQ, HTP)
VLL = (BCT, NXL)
TCS = (TBV, TBV)
VCK = (VVF, VVF)
NJK = (PVL, QJP)
JSB = (VKJ, QND)
LXR = (VQG, VLL)
SWP = (SXT, GKK)
NQN = (TWD, KFN)
XGF = (GJF, BSC)
TJQ = (VWK, LGK)
GQT = (HWN, JSD)
KGW = (WWH, STM)
CRG = (BDL, GJT)
MJC = (KMR, GSH)
LKT = (FRL, NXH)
TMB = (PXP, GLG)
NHV = (FSH, TBC)
CCG = (XWN, LNH)
MQF = (GVL, JKF)
NDF = (JQV, JNH)
SLW = (KPQ, KPQ)
VFH = (XLK, MHD)
MFG = (SWJ, DLD)
JRF = (VCK, RBD)
TVN = (NTQ, LKT)
AAA = (GBB, DXF)
XGR = (PHP, TMB)
RTT = (BKP, THH)
FXP = (LBV, JDM)
WDW = (HWN, JSD)
CJH = (JXS, JXS)
NMQ = (PFL, QRK)
TLW = (PTF, RSD)
RHL = (NQC, MSM)
CVL = (PLF, TFP)
DLD = (VNB, MDS)
PXV = (PXN, CDZ)
VDL = (SQH, BJL)
MHV = (SPB, KGB)
KBH = (QTP, GXZ)
PNN = (KCT, JJV)
QVT = (KSM, XQL)
PWX = (RJL, RVG)
XTG = (XDK, CFG)
BLC = (CSC, RFV)
FJC = (TJH, VDL)
NVP = (WNB, WNB)
TQL = (BXT, TQR)
WVB = (BDN, CBS)
PWS = (RTT, WLW)
TSV = (HJV, FDB)
HTD = (FQW, VRV)
RHG = (WDW, GQT)
TKC = (HRN, WCC)
LQF = (WNB, BFL)
PJX = (QVT, SVM)
XVT = (NMW, WVW)
BWB = (TLW, BQG)
SVM = (KSM, XQL)
CJP = (GKW, BLC)
WLK = (SSR, XMW)
JQV = (JHQ, JRW)
DHS = (TBV, LSP)
JCV = (FDJ, VSP)
KFX = (GRN, RRD)
PXN = (HNB, XVT)
NTJ = (MLD, XTQ)
ZZZ = (GBB, DXF)
PGB = (FBS, PSF)
XFL = (GVL, JKF)
TPV = (VBG, BTB)
CWS = (LMB, DVH)
SJZ = (KCT, JJV)
BDL = (CCG, MSX)
GLG = (CQL, RXK)
KFR = (PPR, NFR)
NGT = (PJX, VXV)
MFZ = (DQW, XXX)
HBH = (TPV, JLW)
PTT = (WNS, MQK)
CKJ = (CFP, QTK)
VGQ = (FMQ, SGR)
SBQ = (RWK, SNK)
RKK = (PXN, PXN)
NDT = (LFC, HHC)
RXK = (WLB, XXC)
KCR = (FDJ, VSP)
KSJ = (FJC, LWR)
PPL = (TJQ, BNC)
VVB = (BSB, DBL)
JSD = (SRC, TKK)
SWJ = (VNB, MDS)
BXW = (TRD, SMK)
NPW = (WNK, TDR)
HNC = (MQF, XFL)
GPS = (NLF, DGK)
RXH = (XGR, GBG)
SPL = (CRG, XNC)
MKJ = (PJX, VXV)
CKT = (TTF, DNV)
RKJ = (GNQ, NDF)
XJP = (TRD, SMK)
WNK = (BDQ, DJL)
NVQ = (VVS, GTX)
FQW = (SBK, VGG)
PMD = (BXW, XJP)
MNT = (QJS, CMB)
CLS = (FGC, VXR)
JKF = (NPW, THV)
JDM = (KRC, CQM)
DVH = (XHQ, JMB)
TGJ = (RDM, NJK)
HVV = (BCL, FDL)
VHX = (RBB, HCS)
PSF = (GFS, THQ)
WCH = (TQL, RNS)
FWG = (LBV, JDM)
WDC = (RBL, BPF)
VQJ = (BDG, FFD)
JTR = (CWS, KDL)
DJC = (HVV, GBH)
TFC = (CRG, XNC)
DBD = (PWR, GWK)
GFS = (CVL, NVG)
MGM = (JQX, SXX)
GRQ = (XHW, CKG)
SWK = (STL, CGJ)
VXC = (MNQ, RKJ)
DTT = (NVQ, HTP)
WPN = (SXT, GKK)
FDB = (TLB, VNQ)
TQG = (MXR, TRH)
BJL = (LLH, NGJ)
CBS = (LSM, KTS)
JTM = (CJP, NRF)
VXR = (LQR, DKM)
XWN = (VWQ, XRF)
KQG = (TTR, VFV)
BDG = (BJT, BGL)
XHD = (XMB, TWR)
SBJ = (NVK, VXC)
GND = (SKV, BTK)
NDJ = (HRN, WCC)
XJX = (WKR, XTG)
FBD = (DRR, BFJ)
BNC = (VWK, LGK)
KSB = (FKB, KJB)
SJL = (KPQ, MFZ)
RQC = (TJQ, BNC)
BSB = (QBG, LXX)
TRJ = (QDN, TVN)
KRJ = (QMG, QMP)
QSB = (BQQ, MNT)
XDK = (TNH, NDP)
XFR = (WDW, GQT)
CKV = (CJH, CJH)
SPB = (JBG, TQG)
NVB = (MJC, QPW)
MQK = (MDR, QNC)
PTP = (XXV, LXR)
VRV = (SBK, VGG)
FFP = (JQX, SXX)
LRT = (JCV, KCR)
FMQ = (NCN, BMW)
XCF = (FMS, WCH)
VNQ = (XFH, DXL)
HKF = (TCS, DHS)
CDP = (FXW, HNC)
TKV = (SJN, SBJ)
FHH = (HHW, GXH)
RSD = (WST, PTP)
JRJ = (WWC, FHH)
CFG = (TNH, NDP)
VDM = (XHG, DTT)
HKQ = (GTM, PTC)
TBC = (VFF, KQG)
SFG = (TTF, DNV)
LLV = (XLP, FHF)
CJD = (SBL, XQV)
DBL = (QBG, LXX)
SVB = (CJH, QWG)
HFL = (SLT, FMH)
LCT = (QPP, BBP)
NQC = (SMQ, QJG)
SXT = (CKJ, DCM)
VXS = (FQW, VRV)
RBD = (VVF, DHZ)
CPQ = (CKV, SVB)
TKW = (QBW, TKV)
XJW = (NKT, VWS)
VPS = (SPB, KGB)
TNH = (HGW, LXG)
WTH = (GKB, FFV)
GHC = (VRR, LQT)
JNH = (JHQ, JRW)
PVN = (PSH, PTT)
BTB = (CNR, GDW)
HWN = (SRC, TKK)
QWG = (JXS, ZZZ)
CBG = (SFF, DLJ)
QBG = (DJF, SMP)
XNC = (BDL, GJT)
HRN = (DLF, GMQ)
VKR = (RDM, NJK)
BQP = (QMG, QMP)
FBS = (GFS, THQ)
NGJ = (HBW, KBH)
XQV = (VGX, MFH)
GJF = (NVP, LQF)
HGW = (FFP, MGM)
TPQ = (KNR, CBG)
BGL = (KXH, GPS)
HHC = (TTH, GJH)
WWH = (NCP, KVX)
KMR = (CGX, HKC)
JPJ = (DMQ, RJB)
DJL = (HNQ, DVK)
RJB = (DHN, KJX)
GXB = (VKK, WTH)
HCS = (QCN, CKL)
QNC = (GCX, VHX)
JHQ = (HFL, KPR)
LBV = (KRC, CQM)
FRL = (KSJ, XTR)
QJP = (NLT, CPQ)
FFD = (BJT, BGL)
SDP = (DQR, TKW)
GJN = (HDD, KKK)
NVG = (PLF, TFP)
NHJ = (GJD, SWK)
KGB = (JBG, TQG)
BDQ = (HNQ, DVK)
SLT = (TSV, VPR)
LVG = (CLS, KJQ)
RNS = (BXT, TQR)
SSP = (TPQ, HKJ)
WLB = (PPL, RQC)
RVG = (SBQ, GLV)
CKK = (TWD, KFN)
PMM = (XQX, HTS)
LSP = (SLW, SJL)
RBB = (QCN, CKL)
VHN = (BSB, DBL)
JMB = (DGH, GPG)
MDR = (GCX, VHX)
STK = (XGR, GBG)
SKM = (QDN, TVN)
SKV = (VDM, JVB)
CNN = (GND, VBH)
LGK = (KJJ, PWS)
XFH = (LSX, BKC)
PDR = (KWV, NHV)
NFR = (DJC, WWX)
