LLLLRRRLLLRRRLRLLLLRRLLRRLLLRRLLLLRRRLLRRRLRRRLLLLRRLRRRLLRLRLLLLRRRLLLRRRLLLLRRRLLLLRRRLRRLLLLRRRLLLLRRRLLLLRRLLLLRRRLLLRRRLLLLRRLLLLRRRLLLLRRRLRLLLLRRLLLLRRRLLLLRRLLRLLLLRRLLRRRLLLLRRRLLLLRRRLLRLRRRLRLLLRRLLLRLRRRLLLLRRRLRRRLLRLRLLLLRRRLLLLRLRRRLLLRLLLLRLRRRLLRRRLRRRLLRLLLRRRLRRLRRRLLLLRRLLLLRRRLRRRLRLRRRLLLRLRRRR

HGQ = (WKS, VFW)
NVB = (LJR, FWB)
SGK = (BNV, JFF)
NMG = (RRM, RRM)
LCT = (JTF, GLK)
GTW = (JNF, TXV)
CWS = (DVW, RST)
FRV = (KXD, JJK)
WCT = (FCX, WBL)
XHL = (WHK, RNN)
HVX = (QMF, QKL)
HTJ = (VDW, JKV)
MSK = (JRT, VBQ)
LBP = (TDQ, TDX)
DBM = (NWB, BCG)
FXL = (PXL, FCP)
FWB = (QKD, MTT)
GVC = (BDW, JFV)
QKK = (XMS, LLH)
HWX = (RTD, MVV)
QFG = (VJF, XLT)
KNC = (CDG, MSG)
LQR = (GDK, WTS)
GBT = (BLR, HNC)
WFF = (VJH, FKS)
MPW = (QFB, CWL)
VFH = (BHB, FFM)
JXF = (PHS, MGX)
GHB = (SKR, BPN)
TLH = (KNC, GRW)
VDC = (PDM, NDM)
RFS = (QFB, CWL)
RFM = (RSK, LQR)
HBV = (FHF, MRW)
LGB = (MVF, GJB)
KNN = (DFK, GTW)
FDT = (MXG, NLB)
XGC = (VLL, QSS)
FCP = (MQT, DHX)
QBP = (XHL, SCD)
WMB = (NKT, WST)
JKA = (BKV, RHR)
PPM = (MMM, GVC)
RJN = (SKR, BPN)
NTN = (XHL, SCD)
GMJ = (HTH, LDP)
VBM = (HFH, LFH)
RXQ = (XMS, LLH)
QKB = (KQS, RCM)
LPC = (SCN, VXJ)
QFM = (XHB, WFF)
CJS = (JDR, QVH)
WJA = (DCK, PLR)
RNQ = (KLQ, RLB)
JJT = (NCP, RQB)
SQV = (FBN, JND)
RQK = (BHQ, VPP)
MTV = (JTL, LGB)
CSB = (BFB, HTJ)
LVF = (FPJ, DWT)
RWQ = (HJC, VFH)
MGX = (JFW, FBM)
CLC = (QNL, HQL)
CLH = (FKC, FLK)
QQW = (SGK, QXJ)
MWC = (XFS, TVV)
XFM = (RJN, GHB)
LPK = (GGJ, HSL)
PRV = (MQX, LDN)
VMQ = (KDT, VLN)
BNB = (MSF, CRN)
DJV = (DTP, WCT)
XFH = (JLN, RSB)
BMT = (LTQ, FDN)
FCX = (RDB, MGC)
WVV = (CJB, FXN)
NKJ = (GBT, KJD)
KDT = (HHL, CFW)
ZZZ = (CLN, RPN)
LTQ = (TTP, DXC)
KXR = (HTG, LWR)
KPW = (SGK, QXJ)
FHZ = (XFS, TVV)
VWJ = (DFK, GTW)
NDH = (VMD, CXK)
CLW = (VLJ, SSX)
BQP = (PTH, SXV)
QKX = (JGD, LMV)
PDX = (QHC, QHC)
CWL = (HRV, SNX)
XBK = (WXQ, JVV)
NQB = (RFS, MPW)
BRR = (FBR, DSZ)
RDF = (XHB, WFF)
LLL = (KPW, QQW)
CWX = (FRV, GRD)
JLG = (GDJ, NDD)
BGH = (LCT, RRH)
VFR = (CNT, QHQ)
KXC = (TXP, FKR)
DKV = (DBV, HGQ)
DBB = (RFX, NRX)
FFZ = (DCK, PLR)
BMW = (RJN, GHB)
MTT = (VRW, QJV)
CJM = (BFB, HTJ)
JTF = (NQB, LMK)
FBC = (KLQ, RLB)
KQS = (HRF, XDG)
NKP = (VKC, VWH)
CJK = (GRK, DLM)
RKM = (NDH, XTL)
WVK = (XBW, KGD)
DGP = (BJW, MSQ)
LTT = (PKH, LXJ)
WLV = (XXT, SRH)
DFT = (XKT, GWL)
GQG = (TWF, DPW)
QLD = (VQR, LSW)
PQV = (KCR, JVN)
TXP = (GWX, QQX)
RGX = (BFG, CQV)
VFQ = (PGB, DJV)
JSH = (FJJ, QMB)
NJL = (STX, STX)
WSQ = (JQB, KVD)
LXD = (QHC, FSV)
NKT = (SFM, VMM)
PTT = (JLS, XGC)
MRD = (MHP, GPX)
PQA = (XFS, TVV)
HFQ = (JRT, VBQ)
RSB = (NBK, DLK)
SVV = (JLN, RSB)
VKC = (XBK, VFK)
KXL = (MMH, TMP)
KWG = (LPC, HCD)
HJG = (DNC, GMJ)
KBB = (HWJ, MQR)
XXT = (QVB, MLP)
JPQ = (QKQ, QKQ)
DDD = (PTS, SGC)
QHG = (CGD, DDD)
PDM = (FVS, CTP)
CFW = (XPS, NRF)
BLJ = (JSH, MWD)
FGJ = (MWC, FHZ)
WWR = (MQP, JXF)
CXK = (FGW, TTW)
PWH = (WTC, CWS)
RHR = (QFG, NCM)
TTP = (CCL, KCD)
GPD = (MKR, CHF)
XLT = (PLQ, XQT)
NKQ = (RTD, MVV)
VGQ = (HGC, FXL)
TBV = (PXT, KBJ)
VGL = (RGG, DVH)
GLN = (PTH, SXV)
MSH = (TCC, XWW)
RFG = (HBV, RJH)
QPX = (LPC, HCD)
QVB = (MNM, CTW)
XCC = (GLT, HCQ)
FLK = (TQN, XTN)
PGB = (DTP, WCT)
JKB = (DQB, RCJ)
BWH = (HJC, VFH)
FJV = (TWQ, QRQ)
MSN = (FBC, RNQ)
GKR = (KPW, QQW)
BLC = (FKV, PRV)
BLV = (VGL, GRV)
QNC = (FKV, PRV)
TFR = (NTW, SWM)
CGT = (VWF, JSV)
MLJ = (BGH, VCP)
WHK = (RMD, DCC)
VBV = (HTD, JBK)
MST = (LTT, TSX)
CQK = (NSB, WVK)
FJF = (JLS, XGC)
VXJ = (RQJ, MSN)
HTH = (RKJ, RQK)
DHX = (QBS, JDW)
JTT = (HMW, FHN)
VLJ = (VDK, LVT)
QBV = (CMM, CXC)
QRQ = (PMJ, HQX)
MKR = (THG, LPK)
MRW = (VWP, LPT)
SRN = (SCS, JMR)
QBS = (VBV, NBT)
VSK = (NSB, WVK)
VHH = (WWR, JVD)
MWD = (FJJ, QMB)
BHB = (DCP, KMX)
JKT = (CFN, DCT)
VBW = (NRQ, WVV)
VLL = (VRX, FDT)
SWM = (CDL, VWT)
PLQ = (NBQ, CVX)
JVV = (QLR, XDX)
BGS = (PDM, NDM)
VFW = (VWJ, KNN)
HHL = (XPS, NRF)
FGT = (KDT, VLN)
CTW = (VBM, LDV)
VBQ = (CGT, VMB)
SXV = (QNC, BLC)
FLM = (CHK, BNC)
CQV = (HXS, GXG)
TRC = (GRK, DLM)
KTR = (NGC, QHV)
HCD = (SCN, VXJ)
JRS = (RDF, QFM)
HJC = (BHB, FFM)
VPQ = (BGH, VCP)
LDP = (RKJ, RQK)
FWL = (XCC, RBP)
CGD = (PTS, SGC)
NDM = (FVS, CTP)
HBN = (RRD, PMW)
PLT = (HLC, ZZZ)
MQR = (JGH, PTD)
CHK = (KDH, JJT)
PTD = (JMG, DBM)
GPT = (NMS, PHB)
SQA = (VFQ, PRJ)
QRG = (QCW, CLR)
BJQ = (NJL, NJL)
HHD = (RHL, CHM)
CJH = (DCK, PLR)
XMS = (PTT, FJF)
NMS = (HWX, NKQ)
RMD = (SHM, BVJ)
QWC = (TJB, BKQ)
WJP = (VLJ, SSX)
QFR = (TSK, JKT)
VRW = (GQG, VHL)
TLG = (WTC, CWS)
FJJ = (STF, JLG)
CXC = (NGG, DNX)
XHB = (VJH, FKS)
LXJ = (KWG, QPX)
BLR = (LFG, PPP)
XKT = (MLJ, VPQ)
CJB = (LWJ, QFC)
KCR = (LFD, NFX)
GRW = (CDG, MSG)
XGB = (BMW, XFM)
VJF = (PLQ, XQT)
LMV = (DXM, FLM)
FKC = (TQN, TQN)
BHQ = (JTT, MPB)
BPN = (PWH, TLG)
DSZ = (VFQ, PRJ)
MQX = (DTQ, FQQ)
NRF = (BNB, GFT)
VWF = (MVJ, JQW)
HTD = (NKD, QRG)
HCQ = (MNK, HBN)
GWL = (MLJ, VPQ)
MQT = (QBS, JDW)
FXM = (CFJ, QKX)
FKR = (GWX, QQX)
PMW = (BWH, RWQ)
FBR = (VFQ, PRJ)
JKV = (HKH, FRW)
VRT = (NGC, QHV)
RJH = (FHF, MRW)
QDN = (NTW, SWM)
JMR = (BMT, NLQ)
CCX = (BMW, XFM)
FBM = (XHD, KHK)
JVD = (MQP, JXF)
MBV = (CFB, BKD)
LLH = (PTT, FJF)
DCK = (XWX, CLC)
NTW = (CDL, VWT)
FVS = (XKJ, WSQ)
NPS = (CJK, TRC)
BNV = (DTT, LWC)
PDD = (NBM, DGP)
DBV = (WKS, VFW)
HVQ = (SRN, HVP)
JFF = (DTT, LWC)
KGR = (GJM, FXM)
TVV = (QKB, XNV)
JQB = (CHD, CHD)
KJD = (BLR, HNC)
HMW = (RKG, VDD)
VHL = (TWF, DPW)
VMB = (VWF, JSV)
TTF = (TMW, TMW)
HKB = (KXC, TBC)
WFP = (XKT, GWL)
WJS = (HTG, LWR)
WST = (SFM, VMM)
RRH = (JTF, GLK)
DCP = (JML, CMH)
VQV = (WCK, BGR)
PXT = (LND, FLL)
THG = (GGJ, HSL)
QSS = (VRX, FDT)
GCX = (CLW, WJP)
XFS = (QKB, XNV)
JGD = (DXM, FLM)
MMH = (DKV, RVS)
VWT = (SDM, LGR)
NGC = (MBV, KSR)
GFT = (MSF, CRN)
XDG = (MRD, GCN)
NFX = (MVN, LPX)
RNT = (HBV, RJH)
PRJ = (PGB, DJV)
BGR = (GLN, BQP)
SNX = (NKP, BXT)
HVP = (SCS, JMR)
VDD = (XQG, WNN)
NSB = (XBW, KGD)
JLS = (VLL, QSS)
HNC = (LFG, PPP)
XTN = (TTF, TBD)
LGD = (CJH, FFZ)
KVD = (CHD, QGF)
PPP = (HLR, VJL)
JLW = (KBB, PQD)
RLB = (RMV, HVX)
RKJ = (BHQ, VPP)
QNL = (HFQ, MSK)
PRW = (TWQ, QRQ)
TGN = (CJK, TRC)
FSV = (LLC, LGD)
TXF = (FFC, VQV)
LLC = (CJH, CJH)
RGG = (KCX, GPD)
RQB = (LRP, CQL)
QHC = (LLC, LLC)
QLR = (DWQ, GCX)
LDV = (HFH, LFH)
XPX = (WJS, KXR)
XKJ = (JQB, KVD)
TXV = (RGX, SNG)
LXZ = (DBS, CBK)
SKL = (CNT, QHQ)
QKC = (GJM, FXM)
GLT = (MNK, HBN)
PTH = (QNC, BLC)
CDL = (SDM, LGR)
FRW = (PDX, LXD)
HSL = (KXF, PDD)
NLB = (TWH, CVS)
LVT = (CJS, PWJ)
DWF = (XCC, RBP)
WTC = (DVW, RST)
GKP = (CVT, NJP)
QNT = (MWC, MWC)
TBD = (TMW, WGZ)
HKH = (PDX, LXD)
KXD = (TLH, JVR)
QKL = (KGR, QKC)
FKV = (MQX, LDN)
PKH = (KWG, QPX)
JTL = (MVF, GJB)
HXP = (HSK, HHD)
CHD = (QNT, QNT)
HBP = (KCR, JVN)
CVX = (KNB, TTR)
CBK = (TRS, NDG)
VMM = (HJG, NXN)
CHF = (THG, LPK)
NJP = (VGQ, PQF)
TCC = (GGT, CTQ)
WCK = (GLN, BQP)
LFD = (MVN, LPX)
LRP = (VDC, BGS)
DVW = (RNT, RFG)
TWT = (RSK, LQR)
QHQ = (FPT, TBV)
SPT = (LJR, FWB)
BKD = (GPF, KHT)
DQB = (TFQ, VHH)
BFG = (HXS, GXG)
SFM = (HJG, NXN)
QKQ = (HLC, HLC)
HFH = (VBW, VQC)
JND = (QBP, NTN)
FFM = (DCP, KMX)
BKV = (QFG, NCM)
JSM = (QKQ, PLT)
HPL = (CMM, CXC)
QJV = (GQG, VHL)
TQN = (TTF, TTF)
KHK = (PRW, FJV)
CTP = (XKJ, WSQ)
JDW = (VBV, NBT)
CLN = (DBB, JJS)
DLF = (FFC, VQV)
XWW = (GGT, CTQ)
VCP = (LCT, RRH)
KDH = (NCP, RQB)
CJR = (WJS, KXR)
XPS = (BNB, GFT)
PQF = (HGC, FXL)
LPX = (LML, WMB)
DBS = (TRS, NDG)
HWJ = (JGH, PTD)
FBN = (QBP, NTN)
MVJ = (JRQ, SVK)
VWH = (XBK, VFK)
RCM = (HRF, XDG)
NXN = (DNC, GMJ)
VWP = (FVJ, NKJ)
LPT = (FVJ, NKJ)
FFC = (WCK, BGR)
QFC = (TGN, NPS)
RKG = (XQG, WNN)
XWX = (QNL, HQL)
WNN = (WMX, GPT)
FPD = (SRN, HVP)
PVD = (XPX, CJR)
RTD = (NMG, NMG)
HQL = (HFQ, MSK)
CNB = (NJL, PDP)
JVN = (LFD, NFX)
CDV = (HSK, HHD)
MVV = (NMG, RQX)
CHM = (HKB, BNG)
FKS = (DWF, FWL)
CTQ = (NPC, QHG)
XDX = (DWQ, GCX)
SSM = (LTT, TSX)
DNX = (LLL, GKR)
MSQ = (FGT, VMQ)
SSX = (VDK, LVT)
KCX = (MKR, CHF)
DXC = (CCL, KCD)
VQS = (TDQ, TDX)
NGG = (LLL, GKR)
SCS = (BMT, NLQ)
VRX = (MXG, NLB)
RQJ = (FBC, RNQ)
CVT = (VGQ, PQF)
HSK = (RHL, CHM)
CQL = (VDC, BGS)
VJL = (KSD, JKB)
RPN = (DBB, JJS)
TFQ = (WWR, JVD)
GWC = (KBB, PQD)
SMM = (SRD, CWX)
TTW = (KXL, FQW)
QRB = (NDH, XTL)
