LRLRRRLLLRRRLLRLLLLRRRLRLLLLRRLLLLRRRLLLRLLLLRLLLRRLLLLRRLLLLRRRLLRRRLLLLRLRRRLLLLRRRLLLRRLLRRLLLRRRLLLLRLLLRLRRLLLRRRLLLLRRRLLRLLRRRLLRLLLLRLRLLLRRRLLLLRRLLRLLRRRLRRLLLRRLLLLRRRLRRRLLRRLLLLRLLRLLLLRLLLRLLLLRRRLLLRRLLLRRRLLLLRRRLLLLRRRLLLLRLLRRLLLLRRLLLRRRLLLRRRR

NHR = (RTR, SWL)
BPF = (WQF, KLG)
TLV = (VHX, JMT)
NBW = (WFF, FRT)
CTS = (TXQ, LDW)
HDX = (JCL, NQV)
HMN = (GDK, WCL)
VGN = (NLS, BCD)
SKC = (QWW, WKC)
FVM = (TXW, BQT)
MBK = (WKD, RPV)
SCT = (QRG, LRT)
VPG = (MNW, CLS)
VWQ = (MWJ, LRS)
KLW = (WDG, KGP)
QLH = (SSF, HST)
VHR = (DFR, JCH)
SLX = (BSF, GQH)
RKF = (XPC, TFW)
WKC = (QGH, GMK)
DGV = (WHV, LBM)
JBH = (LGH, VDF)
GSH = (WKX, DGV)
TSW = (QFL, FDW)
HVG = (FCR, WTF)
JPX = (CQX, DKJ)
DCD = (RRC, MWK)
VKC = (BPF, TCT)
LQL = (HRD, JXD)
MCT = (CKW, VTG)
GLD = (GWJ, MPV)
NWR = (SLT, VPG)
CWG = (FQJ, DRK)
XDS = (WRS, QRB)
PFD = (VXJ, GPV)
WCQ = (FGN, BQL)
CMN = (GSG, DXH)
GKN = (WNG, STK)
KQV = (MFR, TCD)
RPC = (KCN, VNF)
JRP = (DHL, BJM)
JJV = (KSF, CQG)
QSW = (XSK, HVC)
QHL = (WKX, DGV)
XPH = (PVS, PVS)
LTS = (KTK, XXM)
BJJ = (GPS, LRX)
DDS = (WFL, WFL)
VPR = (BCT, QCF)
DPN = (JKC, MRQ)
TMP = (WKW, KNN)
DRC = (MXH, RBN)
JCT = (VGJ, VTK)
BCT = (TSH, WQK)
QGH = (WCG, KXJ)
PLJ = (GXM, JDB)
GSG = (SRT, NCR)
KSV = (HVV, JXL)
LNP = (MFR, TCD)
BPG = (VKC, CTG)
JXD = (WPC, GBD)
SFW = (LGH, VDF)
RHZ = (WDR, LRQ)
KBP = (SLT, VPG)
CQR = (LXJ, WDD)
TKC = (WNV, KCS)
PVT = (MWS, XXN)
CLS = (FBN, WBK)
DXC = (HQB, PTV)
DTJ = (VVR, THC)
JWV = (RLP, WQD)
FKF = (LLW, SLX)
LDG = (LWF, FCG)
TNP = (JCN, FHH)
FRF = (RRG, KCX)
DMD = (MGM, DHQ)
RPV = (DMD, WGP)
KRF = (SML, DKV)
TKK = (XBG, KSV)
QHF = (HRD, JXD)
NCX = (GKT, TFK)
HHF = (CLM, FBK)
WTP = (SBR, KJT)
NDQ = (PLJ, QKT)
SCV = (WWR, JJV)
NQV = (NDB, CTS)
XRJ = (XQB, LLT)
XPF = (HSM, PSC)
CQJ = (FPH, TLF)
JJL = (CGV, RMN)
RQT = (VKC, CTG)
WDQ = (XTT, GFQ)
BGD = (KLW, JLS)
VVK = (TGP, CMN)
SMG = (NCG, KTQ)
HSM = (CWG, VTW)
WMV = (LML, SFF)
SQL = (MMK, FFQ)
QXV = (TWG, MLM)
GCL = (GHC, QPL)
BCV = (JWV, RST)
SBR = (JRN, KNP)
NMC = (RTB, SBJ)
QBP = (DDR, PHB)
TPC = (RPC, VMP)
GXM = (HBX, KPN)
VGJ = (XPG, DRC)
TKQ = (QHF, LQL)
BCD = (JMW, DFN)
DVN = (PWS, WBF)
RMN = (DDS, GPC)
FQN = (XHS, FWV)
RKX = (MMK, MMK)
WBF = (PKT, MXM)
LML = (CBL, JTD)
RLJ = (GSN, CQR)
RJS = (SQF, DJM)
WLA = (GKL, LKL)
LFW = (PHW, CRC)
FKV = (TSB, RLW)
LRL = (PVM, SCT)
KLG = (PVQ, RVD)
BHQ = (GVD, BFS)
HJX = (VWN, KFP)
QWB = (SJL, VGD)
VDF = (KRF, FQD)
QKT = (GXM, JDB)
SND = (FDQ, WCQ)
CJC = (XQG, PXD)
XKL = (XDJ, SVX)
KFB = (NLB, KDX)
CTG = (BPF, TCT)
THX = (FBM, WMV)
DKB = (DBK, XBR)
NSJ = (GGM, PGV)
HCN = (MWM, RFG)
TTD = (DVJ, RDJ)
NVM = (SFW, JBH)
LBP = (FBM, WMV)
WRS = (JBD, SRX)
XSK = (KMX, VMR)
HKZ = (TFR, XQC)
DBV = (JXC, CKV)
JTD = (QVP, TQN)
XMX = (VVR, THC)
JXL = (JFG, BQP)
NFB = (CDQ, JDT)
STW = (KHN, JBW)
VWR = (SGK, KNJ)
WKX = (WHV, LBM)
KDM = (KXS, XVS)
DTT = (LBG, PCL)
TMQ = (GST, WVD)
DFR = (WFP, WXG)
VMP = (KCN, VNF)
BSF = (VGN, MVD)
VTL = (BMW, CGM)
RDN = (BQF, GQT)
CGM = (HQK, DRF)
DXH = (SRT, NCR)
SRK = (KHD, RTG)
CDV = (VXJ, GPV)
SDS = (LBG, PCL)
JCN = (MJD, SJK)
CGH = (SND, RKV)
LQN = (LXN, CTD)
VVR = (FVN, KWS)
KHN = (NVP, BLN)
GJM = (DVJ, RDJ)
VFQ = (CFV, LRF)
TLQ = (KDM, SLW)
KGP = (HBH, BJJ)
BDT = (VJQ, HTP)
JPV = (GST, WVD)
WWG = (JNF, SJH)
KHM = (JKH, NJS)
KPL = (HDX, CQT)
NLB = (MGP, QGJ)
FQD = (SML, DKV)
MQJ = (KFV, TKN)
RLW = (SXP, QQN)
CDQ = (PFD, CDV)
GPS = (PVT, LVV)
SJK = (QLH, NRD)
XDC = (XVR, VVK)
FCR = (FVD, GNL)
CBL = (QVP, TQN)
BKT = (DHT, JJL)
MMD = (PLJ, QKT)
LNV = (NGN, TNQ)
SML = (KQV, LNP)
HBX = (FMB, FVM)
QCP = (CFT, WTP)
MXK = (WWR, JJV)
MPV = (RBP, RKF)
HST = (JRP, NJC)
PVS = (TLQ, WXV)
MMK = (TQC, TQC)
CVM = (TKQ, WXM)
RDJ = (HVG, TDD)
CPQ = (NWR, KBP)
DWH = (HTN, KHM)
XSF = (BMW, CGM)
KXS = (WRV, KRT)
MFR = (WFR, WFR)
SRX = (TKK, SRP)
ZZZ = (JPK, MFJ)
BMW = (HQK, DRF)
KMS = (JBL, JHK)
HSH = (NDQ, MMD)
FCT = (DNT, LKJ)
GGX = (LRL, JCR)
FMJ = (SND, RKV)
WND = (WKD, RPV)
HPC = (QBN, FKV)
TPT = (CCT, NFB)
PRF = (NWR, KBP)
NVP = (RFX, WDT)
NRD = (SSF, HST)
VWN = (LFM, RWM)
DCH = (VWQ, BLH)
WPC = (XDQ, MRG)
KPN = (FMB, FVM)
JMW = (XDH, QHD)
BFT = (VGW, VGW)
CPK = (GDK, WCL)
WGP = (MGM, DHQ)
BBV = (HSM, PSC)
SXP = (LPB, LFK)
PFJ = (MRX, VNT)
SDF = (LRL, JCR)
HQG = (SDF, GGX)
SVH = (SKC, BNK)
SRT = (QHL, GSH)
RMG = (KMS, DKT)
TPJ = (JNF, SJH)
STD = (XGQ, LFW)
LNS = (XVR, VVK)
WTT = (FSQ, LLD)
XQB = (NNN, WDX)
DKV = (KQV, LNP)
TKN = (XSX, RHZ)
DLD = (GGM, PGV)
WRV = (JRG, QBP)
NDB = (TXQ, LDW)
KTK = (LDG, LVP)
JKH = (XKL, XKQ)
CGV = (DDS, DDS)
FQJ = (QKL, KKS)
FGN = (VFV, CGB)
FQG = (CGL, HNP)
WXG = (GMP, KRK)
HNP = (WXW, HHF)
PSC = (CWG, VTW)
CQG = (XWH, BRV)
PLL = (WNV, KCS)
DFN = (XDH, QHD)
VCA = (WDR, LRQ)
GPC = (WFL, ZZZ)
DHT = (CGV, CGV)
SWM = (HHV, MCB)
HQM = (XGN, KPL)
SFF = (CBL, JTD)
NBR = (PRF, CPQ)
STR = (BPG, RQT)
GLT = (WKW, KNN)
NWC = (NHR, RJH)
HPJ = (PBJ, HPC)
GBD = (XDQ, MRG)
GFZ = (TLQ, WXV)
SSW = (XDD, BML)
QRB = (JBD, SRX)
CKK = (QTR, GLD)
GDB = (TRS, LQN)
SJH = (CWJ, DTP)
FFQ = (TQC, HTZ)
KFP = (LFM, RWM)
SXQ = (DHT, JJL)
TWS = (HPJ, XWX)
QFL = (BJR, LFP)
RFT = (PBR, HSK)
BJM = (JSC, WTT)
VTK = (XPG, DRC)
PHB = (CPK, HMN)
GKG = (VWQ, BLH)
XSX = (WDR, LRQ)
DRK = (QKL, KKS)
PTC = (SGK, KNJ)
FPD = (MWM, RFG)
XDQ = (CLJ, RFF)
MCB = (HQM, HWM)
LRQ = (RLM, GDC)
CQT = (JCL, NQV)
CGB = (HPQ, WJC)
NHN = (XSF, VTL)
FLQ = (TWG, MLM)
TCD = (WFR, MQJ)
WWR = (KSF, CQG)
TRS = (LXN, CTD)
QKL = (TWD, TPT)
FMD = (TLV, MGX)
CWJ = (NSD, DWH)
NGN = (HQG, JJP)
BXR = (KGJ, STR)
WDR = (RLM, GDC)
WXV = (KDM, SLW)
SBJ = (KGR, JTV)
QQN = (LPB, LFK)
JCH = (WFP, WXG)
GNL = (MQQ, RMG)
FBP = (VFW, FQG)
JCL = (NDB, CTS)
MGM = (PCD, VBX)
LBM = (QHH, SWM)
TDD = (FCR, WTF)
CMJ = (BNM, BXR)
BNK = (QWW, WKC)
XDJ = (BJL, QXJ)
JNF = (CWJ, DTP)
DMP = (PRF, CPQ)
LPB = (TPC, HTM)
RBP = (XPC, XPC)
JDT = (PFD, CDV)
QXW = (GKX, RCB)
TSB = (SXP, QQN)
KKG = (RTB, SBJ)
VFV = (HPQ, WJC)
PGV = (RDN, TJJ)
STK = (CGS, GCG)
XBG = (HVV, JXL)
MQQ = (KMS, DKT)
VJQ = (FPD, HCN)
JJP = (SDF, GGX)
XXM = (LDG, LVP)
BFS = (DMP, NBR)
RRC = (BDT, XVH)
TVM = (NBT, STW)
MRX = (HXB, JJH)
QJD = (QFL, FDW)
HQK = (DXC, VHD)
BJR = (MDR, DJJ)
MDR = (MXK, SCV)
RWM = (BKT, SXQ)
KVL = (QXV, FLQ)
CLJ = (XJC, KPV)
FVK = (VFQ, NCW)
MNW = (FBN, WBK)
QXJ = (PTC, VWR)
LDW = (RVX, VHR)
VPN = (KFB, GGC)
BRV = (KLH, BGD)
BML = (VPR, FRJ)
DRF = (DXC, VHD)
XPG = (MXH, RBN)
DJB = (GSN, CQR)
GSN = (LXJ, WDD)
DJM = (CVM, XKN)
SVX = (BJL, QXJ)
FCG = (FMV, DFQ)
HCS = (BLL, WHT)
PHW = (DLV, GCL)
JXC = (NHN, CXD)
JBD = (TKK, SRP)
JMG = (XHS, FWV)
LRC = (DTT, SDS)
GMK = (WCG, KXJ)
LRX = (PVT, LVV)
WDD = (MHB, PFJ)
GVD = (DMP, NBR)
CJD = (DNT, LKJ)
LLD = (GBN, GNT)
NSD = (HTN, KHM)
PXD = (JDM, PRG)
QFP = (GKN, MJQ)
PTV = (TTD, GJM)
KTQ = (NPN, WCX)
MHB = (MRX, VNT)
TWD = (CCT, NFB)
MWM = (DLD, NSJ)
MWJ = (XDC, LNS)
VGD = (NCX, NVW)
CKV = (NHN, CXD)
NCW = (CFV, LRF)
BQF = (VBD, XRJ)
HGH = (JLL, BCV)
KPV = (LTT, XDS)
NVW = (GKT, TFK)
JWT = (JLL, BCV)
JCR = (PVM, SCT)
SRP = (XBG, KSV)
HTM = (RPC, VMP)
VBP = (HPJ, XWX)
AAA = (JPK, MFJ)
TWG = (FJM, DCD)
LCG = (FPH, TLF)
WDX = (CGQ, QCP)
WXM = (QHF, LQL)
WHT = (FMM, FVK)
KRT = (JRG, QBP)
VTV = (XPH, GKP)
WTW = (LLW, SLX)
GDX = (QFP, XHV)
JRN = (XMX, DTJ)
QBD = (SFW, JBH)
QGG = (BNM, BXR)
GJS = (KHD, RTG)
RLP = (SMG, NFX)
MGX = (VHX, JMT)
XPC = (FBV, FBV)
WJC = (RJS, PRQ)
RVX = (DFR, JCH)
DLV = (GHC, QPL)
KLH = (KLW, JLS)
KCS = (SDX, SSW)
NLL = (NJB, HFK)
GWJ = (RBP, RBP)
JWC = (VFW, FQG)
MWK = (BDT, XVH)
DTP = (NSD, DWH)
HWM = (XGN, KPL)
FHB = (PMV, SBV)
FKS = (QCN, PNS)
SJL = (NCX, NVW)
TJJ = (BQF, GQT)
PBJ = (QBN, FKV)
WKW = (SCW, DBV)
PWS = (PKT, MXM)
CXD = (XSF, VTL)
FRJ = (BCT, QCF)
MLM = (FJM, DCD)
GQH = (VGN, MVD)
WQD = (SMG, NFX)
RJH = (RTR, SWL)
CGQ = (CFT, WTP)
QWW = (QGH, GMK)
FMB = (TXW, BQT)
BHL = (XQG, PXD)
DBG = (XGQ, LFW)
SSF = (JRP, NJC)
WFL = (JPK, MFJ)
QHD = (LRC, DLR)
HVV = (JFG, BQP)
LWF = (FMV, DFQ)
GCG = (LHR, GTS)
KKS = (TWD, TPT)
GNT = (RKX, SQL)
VTW = (FQJ, DRK)
XGQ = (PHW, CRC)
BNM = (KGJ, STR)
CFV = (TMQ, JPV)
HVC = (KMX, VMR)
CGS = (LHR, GTS)
CQX = (DPN, PBH)
MGP = (DBG, STD)
FRT = (FMJ, CGH)
JJH = (QWB, FFF)
VNT = (HXB, JJH)
MRG = (CLJ, RFF)
LGH = (KRF, FQD)
TLF = (TJC, WDQ)
WCX = (TNP, PVF)
TSL = (JMG, FQN)
WBK = (NBW, RRX)
FVN = (KCF, NLL)
NJS = (XKL, XKQ)
DLR = (DTT, SDS)
FKB = (NDQ, MMD)
KCX = (DCH, GKG)
WNV = (SDX, SSW)
KNJ = (KKG, NMC)
RFV = (NBT, STW)
VMR = (QGG, CMJ)
FQH = (MHR, FRF)
HTN = (JKH, NJS)
HRD = (WPC, GBD)
HQB = (TTD, GJM)
GHC = (GLT, TMP)
RFF = (XJC, KPV)
CKW = (DVN, KNR)
BQP = (JWT, HGH)
XXN = (VGP, NRF)
GKP = (PVS, GFZ)
DVJ = (HVG, TDD)
JTV = (NJM, LTS)
BJL = (PTC, VWR)
XJC = (LTT, XDS)
WFP = (GMP, KRK)
FBM = (LML, SFF)
NJB = (VGS, FBH)
PRQ = (SQF, DJM)
XKN = (TKQ, WXM)
VQG = (TRS, LQN)
LRT = (KKF, RJN)
FWV = (WWG, TPJ)
WCC = (FHB, PQX)
QTR = (GWJ, MPV)
FDW = (BJR, LFP)
GGC = (NLB, KDX)
FBK = (RLJ, DJB)
LVF = (CKW, VTG)
XQG = (JDM, PRG)
SWL = (FBP, JWC)
THC = (FVN, KWS)
NCG = (NPN, WCX)
WRK = (CQX, DKJ)
KDD = (MHR, FRF)
WSG = (TLV, MGX)
QBN = (TSB, RLW)
FDQ = (FGN, BQL)
KDX = (MGP, QGJ)
SLW = (KXS, XVS)
JBW = (NVP, BLN)
KNR = (PWS, WBF)
WFR = (KFV, KFV)
RJN = (VBP, TWS)
KNP = (XMX, DTJ)
DDR = (CPK, HMN)
LFM = (BKT, SXQ)
BWF = (WRK, JPX)
FBH = (CFS, QHT)
WDT = (JWG, PPV)
HBH = (GPS, LRX)
CTD = (LBP, THX)
QVP = (TSL, TVW)
KTJ = (QXV, FLQ)
NMA = (TLQ, WXV)
TXQ = (RVX, VHR)
FBV = (TFR, XQC)
TDH = (MPT, LNV)
VGW = (MWQ, MWQ)
TFR = (XPL, JDR)
MVD = (NLS, BCD)
KHD = (BHL, CJC)
NSS = (XBQ, HCS)
TNQ = (HQG, JJP)
RTB = (KGR, JTV)
TVW = (JMG, FQN)
NLS = (JMW, DFN)
NJM = (KTK, XXM)
NPN = (TNP, PVF)
PQX = (PMV, SBV)
KGR = (NJM, LTS)
VXJ = (CKK, VHQ)
LBG = (NSS, MPC)
VHQ = (QTR, GLD)
HFK = (VGS, FBH)
TQC = (FKS, HWT)
GTN = (VGW, KNB)
WHV = (QHH, SWM)
LXN = (LBP, THX)
LRS = (XDC, LNS)
DKJ = (DPN, PBH)
XQC = (XPL, JDR)
TTL = (NXQ, VPN)
HXB = (QWB, FFF)
CFT = (SBR, KJT)
QHT = (LWS, GDX)
VHD = (HQB, PTV)
JSC = (FSQ, LLD)
FHH = (MJD, SJK)
TJC = (XTT, GFQ)
GPV = (CKK, VHQ)
XDH = (LRC, DLR)
NJC = (DHL, BJM)
DFQ = (RFT, TNL)
CSA = (FKS, HWT)
DHL = (JSC, WTT)
JMT = (QFW, TTL)
QFW = (NXQ, VPN)
JLL = (JWV, RST)
WVD = (HXN, QXW)
KNN = (SCW, DBV)
